Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2024,0,3102,65,3176,63,H,0,26,64,4,12,9,15,10,25,14,14,9,5,22,23,57,7,23,10,19,7,27,10,15,6,3,17
2024,0,3104,93,3106,39,H,0,29,66,4,16,31,44,20,26,14,9,18,4,19,13,43,1,10,12,17,5,18,7,26,3,7,36
2024,0,3107,58,3467,55,A,0,15,44,8,22,20,29,7,18,10,18,5,4,17,21,53,4,14,9,10,8,16,8,15,11,4,24
2024,0,3110,81,3255,68,H,0,30,64,11,25,10,17,7,33,24,20,7,2,16,25,64,4,13,14,23,5,28,9,16,15,3,21
2024,0,3111,71,3422,65,H,0,24,66,2,12,21,31,14,26,7,16,8,4,17,27,62,3,14,8,13,7,23,10,13,7,2,25
2024,0,3112,68,3308,57,A,0,29,59,5,20,5,11,7,22,13,26,10,7,20,19,55,7,15,12,18,5,19,12,23,12,0,15
2024,0,3113,70,3427,55,H,0,22,58,9,26,17,28,10,20,10,14,12,1,25,20,58,2,13,13,24,17,24,11,20,8,6,25
2024,0,3120,78,3240,49,H,0,29,61,4,9,16,22,9,30,13,14,11,4,15,18,59,3,14,10,12,9,19,5,19,7,1,20
2024,0,3123,97,3399,64,H,0,36,57,9,20,16,24,5,20,21,14,19,2,20,26,51,5,13,7,12,8,14,18,26,7,1,25
2024,0,3124,85,3380,53,H,0,31,59,8,24,15,24,8,31,19,11,6,4,11,22,58,6,13,3,6,1,19,7,14,2,2,21
2024,0,3130,66,3221,61,H,0,23,70,3,19,17,22,13,24,17,5,12,5,15,24,71,8,25,5,5,20,30,18,18,3,2,20
2024,0,3131,60,3262,58,H,0,22,52,5,11,11,13,9,20,15,16,11,4,15,24,57,5,11,5,8,9,16,10,17,11,4,18
2024,0,3136,70,3171,52,H,0,28,60,8,21,6,8,8,22,18,7,8,6,11,20,52,3,12,9,13,5,20,10,14,2,3,8
2024,0,3138,69,3145,60,H,0,24,55,6,16,15,22,7,20,15,15,6,6,20,21,61,8,27,10,18,15,23,13,17,11,6,22
2024,0,3143,89,3167,56,H,0,34,67,11,29,10,15,10,26,20,12,11,7,22,20,66,6,19,10,16,16,17,7,17,5,4,19
2024,0,3155,71,3457,41,H,0,26,59,4,22,15,22,11,25,15,15,10,0,8,18,57,2,15,3,3,9,19,6,19,7,2,21
2024,0,3160,92,3261,78,N,0,33,62,10,23,16,24,5,26,24,21,11,3,26,29,66,4,10,16,24,11,19,13,19,6,6,20
2024,0,3161,69,3478,49,H,0,25,60,9,30,10,15,11,31,12,5,5,4,16,19,65,6,24,5,7,13,26,11,8,2,3,15
2024,0,3166,75,3295,52,N,0,27,60,5,19,16,19,8,23,19,17,17,4,20,17,52,4,15,14,21,7,21,11,25,6,2,20
