Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2020,1,3107,82,3162,78,H,1,30,76,9,37,13,19,12,23,15,8,5,2,14,35,84,3,16,5,7,21,32,15,16,3,2,19
2020,1,3112,74,3315,42,H,0,32,73,8,23,2,3,12,28,18,14,15,4,16,13,47,5,21,11,19,9,30,8,27,8,4,11
2020,1,3113,87,3102,56,H,0,34,63,5,13,14,18,13,29,15,18,11,3,17,22,61,3,12,9,19,17,19,9,22,5,2,17
2020,1,3124,97,3306,29,H,0,39,69,2,4,17,25,14,45,29,12,13,8,12,9,58,2,19,9,17,8,21,3,24,4,1,23
2020,1,3127,89,3373,62,A,0,32,78,10,21,15,17,18,29,19,8,6,0,18,22,56,5,18,13,19,8,29,11,20,3,2,19
2020,1,3130,89,3262,46,H,0,31,63,3,18,24,32,14,30,19,20,19,4,24,12,54,3,14,19,26,15,22,2,29,8,4,24
2020,1,3136,45,3135,44,A,0,16,57,0,11,13,17,19,27,2,22,5,0,13,19,58,6,25,0,7,16,25,12,20,9,6,20
2020,1,3138,61,3148,56,H,0,19,57,4,30,19,33,18,25,10,18,9,3,25,17,62,3,24,19,27,23,25,12,20,12,2,25
2020,1,3150,74,3205,49,H,0,29,59,5,13,11,16,15,35,18,25,7,7,21,15,62,6,18,13,17,15,16,6,20,10,0,19
2020,1,3153,68,3428,62,H,0,25,61,3,12,15,24,12,23,15,12,9,1,20,21,56,7,24,13,18,12,23,18,20,6,2,24
2020,1,3159,79,3312,52,A,0,28,58,10,21,13,16,11,24,16,16,12,2,24,16,43,5,16,15,25,5,19,8,20,6,6,17
2020,1,3166,67,3303,54,A,0,23,62,9,30,12,12,7,26,17,8,9,9,16,21,53,2,10,10,14,7,32,10,17,2,3,13
2020,1,3171,72,3436,55,H,0,31,62,5,16,5,8,12,28,15,14,7,4,11,21,60,7,27,6,10,13,19,13,14,5,1,12
2020,1,3172,66,3207,52,H,0,25,60,6,17,10,14,16,30,17,18,6,1,14,20,65,3,18,9,12,16,22,7,14,10,4,18
2020,1,3173,82,3252,60,H,0,26,67,4,20,26,36,16,36,16,12,5,5,19,23,61,4,19,10,11,2,29,12,16,3,0,33
2020,1,3180,66,3346,62,A,0,18,63,6,20,24,29,19,24,12,13,11,2,17,23,56,4,15,12,15,11,24,8,16,8,5,24
