Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
2011,133,1138,75,1346,68,N,0,CIT
2011,134,1102,77,1315,67,H,0,CIT
2011,134,1104,68,1157,44,H,0,NIT
2011,134,1129,83,1122,80,H,0,CBI
2011,134,1130,82,1270,64,A,0,NIT
2011,134,1156,63,1436,60,H,0,NIT
2011,134,1158,94,1173,84,H,0,NIT
2011,134,1166,85,1363,74,H,0,CBI
2011,134,1172,85,1241,65,H,0,CBI
2011,134,1190,76,1202,63,H,0,CIT
2011,134,1191,77,1220,70,H,0,CBI
2011,134,1193,62,1161,60,A,0,NIT
2011,134,1218,76,1339,64,H,0,CIT
2011,134,1239,71,1187,66,A,1,CIT
2011,134,1245,71,1388,70,A,0,NIT
2011,134,1283,89,1293,76,H,0,NIT
2011,134,1307,69,1431,57,H,0,NIT
2011,134,1320,84,1351,50,H,0,CIT
2011,134,1325,65,1267,64,A,0,CIT
2011,134,1329,71,1217,54,H,0,NIT
2011,134,1365,68,1319,63,H,0,CIT
2011,135,1143,77,1279,74,H,0,NIT
2011,135,1160,88,1411,74,H,0,NIT
2011,135,1182,87,1285,76,A,0,CBI
2011,135,1233,85,1434,77,A,0,CIT
2011,135,1274,85,1194,62,H,0,NIT
2011,135,1321,70,1454,61,H,0,NIT
2011,135,1332,68,1451,59,H,0,CBI
2011,135,1348,76,1275,59,H,0,CBI
2011,135,1362,81,1225,73,H,0,CIT
2011,135,1374,64,1331,57,H,1,CIT
2011,135,1416,69,1382,54,H,0,CBI
2011,135,1439,79,1126,54,H,0,NIT
2011,135,1444,74,1399,66,H,0,CIT
2011,135,1450,85,1253,74,H,0,NIT
2011,135,1455,76,1304,49,H,0,NIT
2011,137,1160,89,1143,72,H,0,NIT
2011,137,1365,88,1102,75,H,0,CIT
2011,138,1138,49,1444,48,A,0,CIT
2011,138,1158,64,1156,56,A,0,NIT
2011,138,1321,85,1130,67,A,0,NIT
2011,138,1362,77,1218,74,A,0,CIT
2011,138,1374,63,1239,62,H,0,CIT
2011,139,1245,72,1193,68,A,0,NIT
2011,139,1455,79,1439,76,A,1,NIT
2011,140,1104,74,1307,67,H,0,NIT
2011,140,1129,75,1191,69,H,0,CBI
2011,140,1166,102,1172,92,H,0,CBI
2011,140,1274,81,1283,72,H,0,NIT
2011,140,1332,77,1182,75,H,0,CBI
2011,140,1374,57,1320,50,A,0,CIT
2011,140,1416,66,1348,54,H,0,CBI
2011,140,1450,74,1329,64,H,0,NIT
2011,141,1160,81,1245,74,H,0,NIT
2011,141,1190,82,1325,73,H,0,CIT
2011,141,1233,78,1138,63,H,0,CIT
2011,141,1365,95,1362,91,A,0,CIT
2011,142,1104,79,1274,64,H,0,NIT
2011,142,1166,82,1416,64,H,0,CBI
2011,142,1332,79,1129,71,H,0,CBI
2011,142,1450,69,1321,66,H,1,NIT
2011,142,1455,82,1158,75,H,0,NIT
2011,144,1365,72,1374,55,A,0,CIT
2011,145,1233,83,1190,80,A,0,CIT
2011,147,1166,84,1332,76,H,0,CBI
2011,148,1104,62,1160,61,N,0,NIT
2011,148,1455,75,1450,44,N,0,NIT
2011,149,1332,71,1166,58,H,0,CBI
2011,149,1365,76,1233,69,A,0,CIT
2011,150,1455,66,1104,57,N,0,NIT
2011,151,1332,71,1166,69,H,0,CBI
