Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2011,7,1228,79,1414,65,H,0,29,58,8,24,13,23,9,30,17,14,9,8,22,22,63,7,20,14,22,11,26,12,14,7,1,21
2011,7,1268,105,1370,76,H,0,35,62,2,8,33,41,17,33,23,29,9,9,20,28,77,3,16,17,22,18,16,11,27,18,1,31
2011,7,1338,83,1348,75,H,0,29,64,3,15,22,30,18,28,19,14,8,6,18,24,60,14,32,13,16,10,21,16,17,7,6,25
2011,7,1400,83,1298,52,H,0,30,59,4,17,19,34,11,39,16,15,5,5,17,19,63,4,23,10,18,8,22,8,16,5,5,24
2011,9,1228,84,1405,45,H,0,37,64,5,18,5,6,10,28,21,14,10,7,18,16,45,3,12,10,19,6,17,9,23,6,0,14
2011,9,1268,75,1158,74,H,0,34,66,2,7,5,18,15,21,17,18,11,3,18,25,56,8,20,16,19,11,25,12,22,8,8,19
2011,9,1338,97,1227,54,H,0,37,64,11,21,12,20,17,28,27,11,5,7,13,22,58,3,10,7,9,9,16,9,12,0,3,18
2011,9,1400,89,1256,58,H,0,34,74,4,16,17,22,16,31,18,14,12,7,21,21,64,3,14,13,20,15,26,4,22,6,5,21
2011,11,1104,76,1197,37,H,0,32,73,6,19,6,10,18,40,19,13,12,5,18,15,65,2,21,5,13,15,25,3,15,6,1,10
2011,11,1110,62,1384,52,H,0,22,51,5,19,13,19,9,25,12,12,7,4,16,22,50,5,14,3,11,8,24,9,17,5,2,19
2011,11,1111,89,1409,86,A,0,24,45,8,17,33,41,5,28,13,19,5,4,28,29,63,8,22,20,36,13,20,13,15,12,1,31
2011,11,1114,57,1374,47,A,0,18,46,5,7,16,21,9,27,12,12,7,2,17,13,48,8,30,13,15,9,23,8,13,4,3,20
2011,11,1122,64,1387,62,A,0,21,44,3,6,19,27,10,22,11,16,8,2,18,22,47,4,18,14,21,6,17,12,13,9,7,21
2011,11,1124,87,1212,52,H,0,31,59,4,12,21,38,13,39,15,23,7,5,17,18,62,6,27,10,23,12,22,8,25,7,2,34
2011,11,1130,79,1383,49,H,0,26,54,4,21,23,30,7,31,14,9,4,5,18,16,58,7,27,10,14,11,23,7,18,5,3,23
2011,11,1135,69,1200,65,A,0,25,60,10,34,9,13,7,29,17,11,4,4,22,23,68,7,26,12,21,20,29,13,10,5,2,15
