TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,AUS,BIH,BOB,BP5,BPI,CNG,COL,CPA,CPR,DC,DC2,DCI,DOK,DOL,DUN,JEN,KMV,KOS,KPK,KRA,LMC,LYN,MAS,MB,MOR,NOL,OMY,PEQ,PGH,PIG,POM,PTS,REI,REW,ROG,RPI,RT,RTB,RTH,RTP,RTR,SAG,SE,SEL,SPW,STH,TMR,TW,WIL,WLK,WOB,WOL
1102,22.43,47.86,15.75,30.11,6.68,17.75,12.71,18.14,5.86,22.43,15.43,11.93,6.21,2.54,17.43,22.14,53.86,13.82,29.21,8.32,24.64,12.18,17.14,11.71,22.86,14.25,12.96,5.57,3.25,18.32,128.55555555555554,100.5,105.8,130.0,124.77777777777777,130.6,100.33333333333333,116.0,117.0,110.25,132.86666666666667,147.86666666666667,149.47368421052633,105.66666666666667,135.5,132.0,147.35294117647058,155.83333333333334,142.88888888888889,110.18181818181819,133.0,113.66666666666667,167.47368421052633,149.75,164.68421052631578,115.73333333333333,115.75,112.0,124.0,177.47368421052633,145.10526315789474,115.85714285714286,179.36363636363637,131.375,139.9,118.8125,144.46666666666667,119.26666666666667,142.41666666666666,116.52631578947368,117.5625,119.38888888888889,108.5,122.0,113.5,140.58333333333334,117.84210526315789,136.33333333333334,146.46666666666667,158.06666666666666,107.36363636363636,131.83333333333334
1103,24.59,57.21,16.71,35.32,7.88,21.88,12.91,18.24,10.06,24.21,14.35,12.03,6.44,3.41,19.24,23.35,56.0,17.94,39.0,5.41,17.0,14.21,21.41,11.97,25.29,11.88,13.94,5.97,2.32,18.24,160.77777777777777,128.9,132.53333333333333,119.0,132.66666666666666,169.93333333333334,118.26666666666667,119.0,100.0,141.125,149.26666666666668,126.93333333333334,134.57894736842104,129.93333333333334,136.57142857142858,147.6153846153846,124.52941176470588,122.0,143.38888888888889,126.81818181818181,158.11111111111111,156.0,131.31578947368422,121.625,155.3684210526316,121.33333333333333,151.33333333333334,130.25,111.0,129.26315789473685,148.89473684210526,146.0,145.54545454545453,138.875,128.0,105.8125,141.86666666666667,117.26666666666667,126.58333333333333,124.63157894736842,105.625,129.38888888888889,107.5,126.9090909090909,116.0,146.75,120.63157894736842,143.5,116.73333333333333,122.4,126.0,120.75
1104,24.88,55.91,20.78,42.19,4.09,13.72,12.81,17.72,12.59,24.06,12.41,14.19,9.25,5.22,18.41,20.44,53.31,15.16,36.72,5.28,16.59,13.09,19.66,12.22,21.22,10.28,15.5,6.09,3.97,16.25,76.22222222222223,126.5,80.6,133.0,88.77777777777777,67.13333333333334,125.13333333333334,53.0,91.0,65.125,83.0,58.06666666666667,63.94736842105263,122.06666666666666,56.42857142857143,71.61538461538461,84.11764705882354,70.16666666666667,75.66666666666667,99.18181818181819,54.111111111111114,65.33333333333333,100.57894736842105,125.375,51.21052631578947,110.73333333333333,93.13333333333334,43.0,126.10526315789474,59.73684210526316,53.26315789473684,58.142857142857146,62.09090909090909,66.5,84.5,169.25,79.8,121.26666666666667,88.41666666666667,120.21052631578948,167.375,104.83333333333333,149.94444444444446,85.36363636363636,83.75,82.5,129.57894736842104,111.08333333333333,129.93333333333334,108.46666666666667,99.81818181818181,119.83333333333333
1105,22.16,55.8,17.88,40.8,4.28,15.0,14.2,22.76,11.88,24.68,11.6,15.88,8.56,5.28,20.0,23.36,55.76,18.24,39.96,5.12,15.8,14.4,23.4,12.72,26.64,13.04,16.84,8.08,4.24,19.64,328.77777777777777,305.4,309.1333333333333,271.0,271.3333333333333,318.6666666666667,296.53333333333336,315.0,327.0,283.875,317.6666666666667,315.06666666666666,320.7894736842105,300.8666666666667,325.2142857142857,306.6923076923077,289.3529411764706,295.0,316.8333333333333,312.72727272727275,304.3333333333333,312.5,319.2631578947368,295.25,325.10526315789474,287.4,312.3333333333333,315.5,317.8421052631579,314.94736842105266,324.05263157894734,332.2857142857143,325.8181818181818,273.5,267.0,313.3125,299.4,263.73333333333335,311.0,301.63157894736844,312.125,320.6666666666667,319.77777777777777,293.72727272727275,272.25,280.9166666666667,324.10526315789474,303.1666666666667,312.2,304.8666666666667,304.54545454545456,284.8333333333333
1106,20.91,52.56,16.09,36.09,4.81,16.47,14.94,24.53,13.31,22.28,11.62,15.72,7.31,4.56,22.31,20.5,49.66,15.16,34.84,5.34,14.81,18.09,26.16,11.25,23.5,11.62,15.59,7.41,2.62,20.47,328.55555555555554,307.8,313.2,314.0,310.0,321.6,307.06666666666666,301.0,229.0,298.5,314.6,298.6,313.94736842105266,309.26666666666665,315.35714285714283,319.2307692307692,318.7647058823529,301.0,317.72222222222223,320.27272727272725,313.8888888888889,329.6666666666667,317.7368421052632,309.4375,323.10526315789474,296.8,316.8666666666667,320.5,303.3157894736842,312.2631578947368,324.4736842105263,332.14285714285717,327.45454545454544,299.125,291.0,288.0625,305.6666666666667,305.8,326.3333333333333,292.63157894736844,288.25,310.22222222222223,300.22222222222223,319.1818181818182,284.25,314.3333333333333,305.5263157894737,265.5,311.8,312.8666666666667,316.0,308.6666666666667
1107,22.62,53.34,15.19,33.62,7.44,19.72,10.22,15.84,11.75,24.34,11.59,12.84,4.69,2.81,15.78,23.25,56.47,15.75,33.69,7.5,22.78,10.0,15.69,11.94,21.81,13.78,10.44,6.44,3.31,16.81,250.88888888888889,217.6,247.26666666666668,251.0,231.88888888888889,251.2,223.6,262.0,231.0,218.25,241.26666666666668,251.86666666666667,242.1578947368421,227.4,252.14285714285714,242.0,247.05882352941177,235.83333333333334,253.66666666666666,223.9090909090909,227.88888888888889,262.5833333333333,229.8421052631579,229.25,248.8421052631579,199.8,238.2,257.75,238.6315789473684,247.68421052631578,247.73684210526315,257.14285714285717,248.63636363636363,228.75,222.5,237.3125,242.93333333333334,257.06666666666666,228.58333333333334,235.1578947368421,235.125,241.88888888888889,230.61111111111111,232.0909090909091,214.0,251.08333333333334,235.42105263157896,259.0,220.4,223.53333333333333,224.54545454545453,214.58333333333334
1108,21.93,59.43,17.79,46.61,4.14,12.82,17.64,27.89,10.54,24.89,9.11,16.89,7.79,3.68,21.79,28.32,64.07,21.96,44.25,6.36,19.82,17.64,27.0,15.14,30.93,17.11,15.36,8.43,4.75,22.18,341.3333333333333,333.3,322.2,335.0,338.8888888888889,341.6,325.6666666666667,341.0,342.0,336.75,334.6666666666667,342.6666666666667,341.94736842105266,336.8666666666667,343.14285714285717,336.84615384615387,342.11764705882354,342.5,341.1666666666667,339.72727272727275,341.3333333333333,341.8333333333333,343.4736842105263,332.8125,343.57894736842104,329.0,338.46666666666664,341.0,329.57894736842104,342.8421052631579,341.05263157894734,344.0,341.8181818181818,339.75,339.6,300.3125,341.73333333333335,331.3333333333333,343.0,331.6842105263158,299.4375,335.55555555555554,329.72222222222223,338.8181818181818,334.5,337.25,342.8421052631579,240.08333333333334,336.53333333333336,335.6,339.27272727272725,340.0
1110,23.1,51.68,17.03,33.71,6.06,17.97,13.9,19.35,9.29,24.39,13.87,11.16,4.1,2.77,18.0,21.9,52.06,16.26,36.42,5.65,15.65,14.19,19.48,8.65,21.94,11.35,10.35,5.45,2.1,18.84,186.33333333333334,112.6,151.26666666666668,107.0,113.33333333333333,177.73333333333332,111.8,231.0,131.0,132.5,148.86666666666667,197.86666666666667,175.10526315789474,124.2,208.64285714285714,152.07692307692307,148.23529411764707,102.0,181.5,111.36363636363636,173.55555555555554,177.66666666666666,151.31578947368422,123.875,194.73684210526315,83.93333333333334,152.73333333333332,189.0,145.42105263157896,188.05263157894737,169.94736842105263,170.71428571428572,174.9090909090909,104.0,87.8,121.8125,159.53333333333333,129.66666666666666,132.5,117.73684210526316,126.875,145.66666666666666,117.05555555555556,120.45454545454545,96.5,130.83333333333334,133.10526315789474,104.66666666666667,116.13333333333334,108.73333333333333,111.27272727272727,96.66666666666667
1111,24.93,55.41,18.79,37.07,6.14,18.34,15.48,21.72,10.17,23.21,10.14,12.69,5.66,2.66,17.34,27.34,58.21,21.07,40.0,6.28,18.21,12.38,17.86,10.45,23.86,14.34,12.03,6.21,2.55,18.93,205.0,205.9,203.46666666666667,225.0,213.0,200.8,208.13333333333333,195.0,152.0,202.875,186.33333333333334,163.86666666666667,188.78947368421052,190.6,192.28571428571428,222.69230769230768,196.35294117647058,210.66666666666666,195.94444444444446,218.36363636363637,203.22222222222223,204.16666666666666,172.10526315789474,199.4375,153.1578947368421,206.66666666666666,194.4,205.0,182.26315789473685,157.1578947368421,184.68421052631578,195.42857142857142,209.63636363636363,206.0,212.7,157.5,212.26666666666668,192.93333333333334,220.08333333333334,196.21052631578948,156.5,165.61111111111111,159.44444444444446,219.9090909090909,210.5,211.5,156.94736842105263,226.83333333333334,204.6,172.73333333333332,220.0,197.66666666666666
1112,25.41,54.0,17.47,34.12,7.94,19.88,17.76,23.79,10.41,24.18,14.09,12.85,5.03,2.65,18.62,24.71,55.74,20.12,39.82,4.59,15.91,13.47,20.24,9.85,20.82,13.15,12.68,5.97,3.21,19.91,12.777777777777779,22.8,19.4,21.0,19.0,14.533333333333333,24.2,17.0,40.0,18.75,18.8,28.4,22.263157894736842,20.266666666666666,23.857142857142858,20.23076923076923,18.529411764705884,16.666666666666668,27.0,24.454545454545453,19.555555555555557,24.083333333333332,30.789473684210527,33.3125,30.57894736842105,17.6,14.666666666666666,23.5,34.68421052631579,31.894736842105264,19.789473684210527,25.857142857142858,16.272727272727273,22.375,15.8,37.125,14.066666666666666,22.333333333333332,24.833333333333332,35.1578947368421,36.3125,25.72222222222222,35.77777777777778,21.272727272727273,15.75,16.916666666666668,33.36842105263158,19.25,32.4,24.8,24.0,24.083333333333332
