Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
1999,137,3104,80,3212,68,N,0
1999,137,3112,87,3196,84,N,0
1999,137,3155,76,3197,45,H,0
1999,137,3161,71,3169,59,H,0
1999,137,3163,97,3384,46,H,0
1999,137,3228,69,3257,67,N,0
1999,137,3235,74,3365,61,H,0
1999,137,3256,90,3416,48,H,0
1999,137,3263,60,3390,58,N,0
1999,137,3283,72,3364,70,N,0
1999,137,3314,64,3318,55,H,0
1999,137,3330,74,3399,48,H,0
1999,137,3332,65,3153,56,N,0
1999,137,3336,82,3438,69,N,0
1999,137,3353,84,3171,70,H,0
1999,137,3462,85,3198,71,N,0
1999,138,3120,69,3400,61,N,0
1999,138,3130,72,3326,59,N,0
1999,138,3181,79,3221,51,H,0
1999,138,3208,73,3251,52,H,0
1999,138,3242,64,3266,58,N,0
1999,138,3246,98,3304,92,N,0
1999,138,3261,78,3191,69,H,0
1999,138,3301,76,3280,57,N,0
1999,138,3323,61,3388,57,N,0
1999,138,3345,68,3331,48,H,0
1999,138,3374,91,3405,76,N,0
1999,138,3386,83,3408,72,N,0
1999,138,3397,113,3111,54,H,0
1999,138,3403,80,3372,54,H,0
1999,138,3417,76,3453,69,H,0
1999,138,3439,73,3389,48,H,0
1999,139,3155,63,3228,51,H,0
1999,139,3161,86,3283,70,H,0
1999,139,3163,86,3462,84,H,0
1999,139,3235,85,3332,70,H,0
1999,139,3256,79,3336,62,H,0
1999,139,3314,70,3104,56,H,0
1999,139,3330,72,3263,62,H,0
1999,139,3353,90,3112,47,H,0
1999,140,3181,66,3386,60,H,0
1999,140,3208,68,3374,55,H,0
1999,140,3261,74,3323,64,H,0
1999,140,3345,55,3242,41,H,0
1999,140,3397,89,3130,62,H,0
1999,140,3403,85,3301,78,H,0
1999,140,3417,87,3246,63,H,0
1999,140,3439,76,3120,61,H,0
1999,145,3181,76,3330,63,N,0
1999,145,3208,67,3155,54,N,0
1999,145,3235,64,3163,58,N,0
1999,145,3256,73,3261,52,N,0
1999,145,3345,82,3314,59,N,0
1999,145,3353,53,3403,42,N,0
1999,145,3397,68,3439,52,N,0
1999,145,3417,77,3161,68,N,0
1999,147,3181,69,3397,63,N,0
1999,147,3208,89,3235,71,N,0
1999,147,3256,88,3417,62,N,0
1999,147,3345,75,3353,62,N,0
1999,151,3181,81,3208,69,N,0
1999,151,3345,77,3256,63,N,0
1999,153,3345,62,3181,45,N,0
