Season,Seed,TeamID
2005,W01,3261
2005,W02,3181
2005,W03,3400
2005,W04,3336
2005,W05,3177
2005,W06,3208
2005,W07,3130
2005,W08,3328
2005,W09,3112
2005,W10,3222
2005,W11,3349
2005,W12,3439
2005,W13,3251
2005,W14,3331
2005,W15,3145
2005,W16,3391
2005,X01,3314
2005,X02,3124
2005,X03,3278
2005,X04,3323
2005,X05,3113
2005,X06,3438
2005,X07,3395
2005,X08,3279
2005,X09,3203
2005,X10,3332
2005,X11,3330
2005,X12,3184
2005,X13,3364
2005,X14,3384
2005,X15,3229
2005,X16,3164
2005,Y01,3277
2005,Y02,3390
2005,Y03,3163
2005,Y04,3243
2005,Y05,3435
2005,Y06,3199
2005,Y07,3235
2005,Y08,3425
2005,Y09,3257
2005,Y10,3428
2005,Y11,3350
2005,Y12,3285
2005,Y13,3132
2005,Y14,3171
2005,Y15,3365
2005,Y16,3108
2005,Z01,3397
2005,Z02,3326
2005,Z03,3353
2005,Z04,3403
2005,Z05,3301
2005,Z06,3396
2005,Z07,3268
2005,Z08,3307
2005,Z09,3345
2005,Z10,3453
2005,Z11,3256
2005,Z12,3292
2005,Z13,3426
2005,Z14,3216
2005,Z15,3221
2005,Z16,3441
