Season,TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGM_A,FGA_A,FGM2_A,FGA2_A,FGM3_A,FGA3_A,FTM_A,FTA_A,OR_A,DR_A,Ast_A,TO_A,Stl_A,Blk_A,PF_A,BIH,COL,DCI,DOK,DOL,DUN,KPK,LMC,MAS,MB,MOR,NOL,PGH,POM,REW,RPI,RT,RTH,STH,WIL,WLK,WOL
2021,1101,27.17,59.04,19.04,37.48,8.13,21.57,13.83,20.09,9.61,22.83,18.17,13.43,9.35,3.0,5.74,20.78,51.35,15.7,33.87,5.09,17.48,15.09,21.83,7.78,22.65,10.04,18.3,7.09,3.78,5.09,78.66666666666667,96.4,110.3076923076923,113.3125,78.16666666666667,85.08333333333333,118.64285714285714,133.5,146.9375,191.0,82.5,106.07692307692308,112.0625,110.0,53.0,323.5,96.6923076923077,236.76923076923077,240.63636363636363,158.125,79.33333333333333,178.6153846153846
2021,1102,20.88,46.8,13.92,25.72,6.96,21.08,10.0,14.44,3.56,17.2,12.32,13.16,7.08,2.48,4.92,26.16,52.36,18.4,31.16,7.76,21.2,11.84,17.2,9.0,23.12,14.72,13.36,6.0,2.12,4.52,273.22222222222223,253.9,262.0,268.0,263.5,283.3333333333333,249.35714285714286,259.25,238.3125,191.0,305.9375,270.9230769230769,233.375,292.8125,315.5,323.5,283.0769230769231,236.76923076923077,240.63636363636363,205.0625,295.3333333333333,178.6153846153846
2021,1103,26.57,60.71,17.19,32.62,9.38,28.1,14.05,18.62,9.0,25.24,12.81,11.62,4.71,3.76,5.95,26.95,62.24,20.33,41.29,6.62,20.95,12.24,17.0,9.95,22.57,12.43,11.38,5.71,2.43,6.9,105.0,112.0,97.0,115.875,109.41666666666667,103.66666666666667,102.21428571428571,116.5,102.5625,191.0,170.625,84.15384615384616,115.625,119.5,94.5,323.5,100.84615384615384,236.76923076923077,240.63636363636363,89.75,122.22222222222223,178.6153846153846
2021,1104,27.8,64.57,17.13,34.17,10.67,30.4,13.3,18.47,10.4,25.97,14.13,13.83,8.63,4.33,4.93,25.1,62.0,19.1,41.17,6.0,20.83,13.57,19.77,9.97,24.63,11.03,15.03,8.0,4.83,4.43,8.11111111111111,7.8,18.76923076923077,22.0625,18.416666666666668,18.916666666666668,26.285714285714285,6.25,26.5,191.0,24.5,14.076923076923077,27.0625,25.0625,14.0,323.5,15.153846153846153,236.76923076923077,240.63636363636363,42.5625,6.888888888888889,178.6153846153846
2021,1105,23.13,57.87,17.6,38.67,5.53,19.2,11.53,18.4,9.4,25.47,11.0,14.67,5.47,3.6,6.93,23.33,59.4,17.73,39.6,5.6,19.8,14.93,22.2,10.2,25.67,12.53,12.47,8.07,2.67,5.47,197.22222222222223,162.4,325.53846153846155,325.25,217.83333333333334,292.6666666666667,311.0,339.75,289.1875,191.0,327.125,286.46153846153845,181.125,338.25,258.0,323.5,215.15384615384616,236.76923076923077,240.63636363636363,315.5625,277.6666666666667,178.6153846153846
2021,1106,21.28,56.06,15.11,36.61,6.17,19.44,15.5,23.94,9.17,23.78,9.72,15.61,6.11,2.39,6.22,25.33,57.89,19.33,39.44,6.0,18.44,14.89,21.39,8.94,25.78,12.61,14.33,7.72,4.17,7.06,335.1111111111111,331.8,339.2307692307692,347.0,338.8181818181818,330.6363636363636,326.35714285714283,342.0,344.9375,191.0,342.875,337.61538461538464,342.5625,351.0,329.5,323.5,339.8181818181818,236.76923076923077,240.63636363636363,340.375,342.3333333333333,178.6153846153846
2021,1107,24.69,55.19,18.31,36.25,6.38,18.94,13.62,18.81,5.81,21.88,11.69,12.12,6.12,1.81,6.0,25.12,55.88,18.0,35.25,7.12,20.62,11.31,16.38,7.75,23.38,12.25,13.88,5.62,4.0,6.06,242.44444444444446,262.7,244.46153846153845,242.5625,245.33333333333334,247.75,280.2142857142857,247.25,258.3125,191.0,195.8125,274.3076923076923,288.8125,256.5,271.0,323.5,143.6153846153846,236.76923076923077,240.63636363636363,278.0625,216.44444444444446,178.6153846153846
2021,1108,22.89,58.26,16.95,38.47,5.95,19.79,14.37,19.79,8.63,19.58,9.32,13.21,7.58,1.58,6.32,25.42,52.21,18.37,31.84,7.05,20.37,17.74,26.16,7.79,23.89,14.74,14.84,6.74,4.16,5.53,315.22222222222223,282.5,330.53846153846155,346.25,315.5833333333333,321.75,320.7142857142857,337.25,348.3125,191.0,343.375,302.61538461538464,300.875,342.6875,295.5,323.5,332.0,236.76923076923077,240.63636363636363,303.25,332.6666666666667,178.6153846153846
2021,1110,24.8,55.7,15.8,31.9,9.0,23.8,10.5,14.9,6.6,23.0,12.8,15.4,7.3,4.7,10.6,26.8,58.4,21.8,41.2,5.0,17.2,15.0,22.4,9.3,23.4,11.7,12.3,8.5,2.5,9.6,173.22222222222223,179.0,197.07692307692307,246.5625,193.11111111111111,198.33333333333334,202.0,332.25,227.4375,191.0,274.25,196.46153846153845,216.1875,253.6875,213.0,323.5,172.33333333333334,236.76923076923077,240.63636363636363,187.0625,189.375,178.6153846153846
2021,1111,23.21,57.29,15.0,32.12,8.21,25.17,13.54,18.92,8.88,22.04,11.33,11.12,7.54,3.17,8.08,25.46,57.83,18.12,35.96,7.33,21.88,10.0,13.88,8.75,24.75,12.62,13.04,5.83,4.54,9.92,173.77777777777777,165.2,181.0,174.125,190.0,185.5,149.5,223.25,186.0,191.0,211.1875,167.6153846153846,173.3125,198.9375,186.0,323.5,208.30769230769232,236.76923076923077,240.63636363636363,172.5,183.66666666666666,178.6153846153846
2021,1112,25.65,57.38,18.96,39.38,6.69,18.0,17.42,23.96,10.19,25.12,15.5,11.46,5.85,4.0,3.81,24.27,56.54,17.19,35.81,7.08,20.73,12.96,18.35,6.92,21.04,11.23,11.85,5.38,2.77,4.46,52.44444444444444,47.5,51.92307692307692,36.375,44.166666666666664,27.666666666666668,24.142857142857142,27.0,44.4375,191.0,53.4375,49.69230769230769,57.3125,39.75,58.0,323.5,35.38461538461539,236.76923076923077,240.63636363636363,46.4375,38.111111111111114,178.6153846153846
2021,1113,26.24,60.6,19.08,39.12,7.16,21.48,14.68,20.16,6.6,21.88,13.08,10.76,7.28,3.28,6.72,26.84,58.4,19.16,37.2,7.68,21.2,15.72,21.08,9.08,27.68,14.92,14.68,5.56,3.2,6.36,135.77777777777777,140.0,85.46153846153847,78.5625,110.0,111.33333333333333,85.0,96.0,85.4375,191.0,93.1875,66.38461538461539,94.3125,72.1875,120.0,323.5,111.53846153846153,236.76923076923077,240.63636363636363,63.4375,102.77777777777777,178.6153846153846
2021,1114,24.2,53.52,18.6,35.6,5.6,17.92,14.32,20.16,8.88,22.92,13.36,14.68,6.36,3.24,5.4,24.96,56.92,17.12,34.48,7.84,22.44,11.52,15.84,8.16,21.0,13.56,13.12,6.8,3.04,6.56,201.55555555555554,183.8,189.46153846153845,164.1875,200.5,177.25,156.0,167.5,188.0625,191.0,208.6875,184.69230769230768,168.25,173.9375,206.5,323.5,152.6153846153846,236.76923076923077,240.63636363636363,147.25,204.22222222222223,178.6153846153846
2021,1115,20.96,54.24,16.04,38.24,4.92,16.0,15.12,20.92,8.56,21.0,9.6,15.24,6.4,3.8,3.56,27.2,57.36,19.56,38.24,7.64,19.12,14.8,21.96,9.32,24.48,16.16,12.36,8.28,3.8,3.6,329.1111111111111,317.9,340.61538461538464,346.1875,320.1666666666667,340.8333333333333,348.7142857142857,334.0,348.625,191.0,323.125,341.6923076923077,307.5,350.0,338.5,323.5,337.38461538461536,236.76923076923077,240.63636363636363,345.8125,338.55555555555554,178.6153846153846
2021,1116,29.46,64.79,21.61,41.61,7.86,23.18,15.61,21.18,10.57,26.14,14.93,12.82,8.04,5.14,4.04,25.43,61.29,17.93,38.25,7.5,23.04,12.32,17.96,8.43,24.11,11.82,15.0,6.75,3.64,5.18,25.11111111111111,28.5,25.46153846153846,17.625,23.333333333333332,13.833333333333334,24.5,16.5,22.0,191.0,17.6875,35.07692307692308,41.875,31.4375,7.5,323.5,12.461538461538462,236.76923076923077,240.63636363636363,45.125,25.333333333333332,178.6153846153846
