Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
2021,135,1350,76,1405,66,N,0,NIT
2021,135,1443,69,1388,67,N,0,NIT
2021,136,1129,85,1374,84,N,0,NIT
2021,136,1301,75,1172,61,N,0,NIT
2021,137,1161,75,1138,73,N,0,NIT
2021,137,1256,70,1279,61,N,0,NIT
2021,138,1272,71,1173,60,N,0,NIT
2021,138,1280,74,1387,68,N,0,NIT
2021,140,1157,93,1136,82,N,0,CBI
2021,140,1337,80,1255,66,N,0,CBI
2021,140,1391,53,1132,52,N,0,CBI
2021,140,1468,77,1119,67,N,0,CBI
2021,141,1157,77,1391,72,N,1,CBI
2021,141,1337,82,1468,71,N,0,CBI
2021,142,1337,84,1157,61,N,0,CBI
2021,143,1161,65,1301,61,N,0,NIT
2021,143,1256,72,1443,65,N,0,NIT
2021,143,1272,59,1129,56,N,0,NIT
2021,143,1280,68,1350,67,N,0,NIT
2021,145,1272,90,1161,67,N,0,NIT
2021,145,1280,84,1256,62,N,0,NIT
2021,146,1256,76,1161,74,N,0,NIT
2021,146,1272,77,1280,64,N,0,NIT
