TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,BIH,BOB,CNG,COL,DC,DOK,DOL,DUN,DWH,ECK,GRN,JCI,KPK,MB,MOR,PKL,POM,REN,ROH,RPI,RTH,SAG,SAP,SCR,SE,SEL,SIM,WLK,WOB,WOL
1102,21.93,45.57,13.32,23.89,8.61,21.68,11.04,14.79,6.79,17.79,14.18,10.93,8.0,2.11,15.39,19.79,45.82,14.89,30.86,4.89,14.96,10.11,13.86,10.21,19.04,10.14,14.96,4.14,2.61,15.86,37.375,51.92857142857143,43.22222222222222,39.916666666666664,53.888888888888886,46.5,31.666666666666668,56.411764705882355,44.5,42.0,48.0,55.666666666666664,41.357142857142854,45.0,48.55555555555556,43.57142857142857,45.0,48.36363636363637,37.857142857142854,44.4,42.583333333333336,50.888888888888886,29.375,93.22222222222223,47.4375,46.38461538461539,59.357142857142854,54.357142857142854,40.285714285714285,40.92307692307692
1103,24.33,54.23,16.83,33.23,7.5,21.0,15.3,21.03,11.0,22.13,15.63,12.57,6.03,2.97,18.97,22.83,52.47,16.47,34.13,6.37,18.33,14.1,21.03,10.97,21.43,13.03,14.1,5.27,2.13,19.67,61.625,106.28571428571429,98.11111111111111,71.75,79.11111111111111,91.44444444444444,81.86666666666666,85.47058823529412,84.5,69.66666666666667,70.91666666666667,66.83333333333333,100.21428571428571,69.4,95.94444444444444,83.5,102.94444444444444,73.72727272727273,93.71428571428571,67.4,83.91666666666667,112.27777777777777,49.125,120.22222222222223,101.75,89.23076923076923,54.714285714285715,101.57142857142857,66.71428571428571,79.15384615384616
1104,24.52,54.07,19.0,37.83,5.52,16.24,15.41,21.83,12.52,24.48,12.21,13.52,6.34,5.03,13.83,24.9,59.34,17.24,37.79,7.66,21.55,9.69,14.1,12.21,20.48,13.41,11.76,6.72,4.34,18.52,57.875,58.57142857142857,56.44444444444444,64.66666666666667,36.44444444444444,58.166666666666664,76.66666666666667,47.05882352941177,42.5,45.333333333333336,68.41666666666667,46.166666666666664,58.0,51.7,32.666666666666664,116.5,71.88888888888889,74.54545454545455,71.35714285714286,43.8,58.166666666666664,57.94444444444444,71.5,13.88888888888889,65.1875,62.30769230769231,108.57142857142857,76.57142857142857,45.857142857142854,78.84615384615384
1105,25.52,61.13,19.26,41.7,6.26,19.43,16.65,25.52,12.91,25.43,12.13,15.65,8.22,5.74,19.7,26.3,61.61,20.61,44.96,5.7,16.65,14.35,22.65,14.65,27.65,14.48,18.22,7.52,3.22,20.26,271.875,250.3846153846154,269.22222222222223,253.08333333333334,271.77777777777777,267.3888888888889,267.4,282.5882352941176,295.5,273.6666666666667,269.5,296.3333333333333,307.7857142857143,301.2,281.05555555555554,318.7857142857143,271.6666666666667,263.90909090909093,234.71428571428572,265.6,307.9166666666667,259.22222222222223,245.375,262.44444444444446,260.3125,295.6923076923077,230.08333333333334,288.42857142857144,283.85714285714283,292.0
1106,22.97,56.2,17.17,37.57,5.8,18.63,14.43,23.0,13.17,22.47,10.27,15.87,5.97,2.77,21.33,24.17,53.87,18.7,38.4,5.47,15.47,16.77,25.67,11.4,24.5,11.83,15.73,7.33,4.0,20.7,283.0,285.07142857142856,298.22222222222223,286.0,275.6666666666667,298.05555555555554,292.46666666666664,306.29411764705884,297.5,261.0,290.0,287.1666666666667,295.35714285714283,298.9,310.77777777777777,310.2142857142857,298.27777777777777,279.8181818181818,286.57142857142856,260.2,300.8333333333333,292.77777777777777,263.0,290.6666666666667,285.3125,294.7692307692308,277.85714285714283,285.2857142857143,286.14285714285717,280.9230769230769
1107,23.19,51.87,16.13,33.35,7.06,18.52,15.42,21.74,11.0,22.97,12.61,14.16,6.39,2.58,19.1,22.26,52.87,15.71,33.68,6.55,19.19,13.23,19.23,10.68,20.94,12.55,14.0,6.32,3.39,19.65,149.0,171.42857142857142,157.44444444444446,151.91666666666666,127.44444444444444,171.27777777777777,175.06666666666666,197.8235294117647,176.5,125.33333333333333,177.33333333333334,177.33333333333334,192.42857142857142,183.6,191.83333333333334,164.64285714285714,171.27777777777777,158.36363636363637,165.92857142857142,128.8,178.33333333333334,191.11111111111111,122.25,183.44444444444446,203.5625,177.07692307692307,129.71428571428572,148.0,161.85714285714286,167.3846153846154
1108,23.29,55.14,17.21,36.36,6.07,18.79,13.36,20.36,11.32,24.32,12.04,18.29,6.96,3.04,21.89,24.79,57.04,18.96,40.14,5.82,16.89,17.68,27.18,12.25,24.57,12.29,14.54,9.0,3.57,18.07,305.5,305.0,311.55555555555554,306.9166666666667,303.77777777777777,304.0,306.1333333333333,319.2352941176471,315.5,305.3333333333333,306.8333333333333,312.0,308.7142857142857,313.4,324.3333333333333,289.85714285714283,309.27777777777777,296.8181818181818,310.0,302.8,313.4166666666667,295.6666666666667,299.375,302.0,299.8125,307.61538461538464,291.14285714285717,294.2857142857143,312.57142857142856,298.3076923076923
1110,22.59,54.24,16.9,37.48,5.69,16.76,12.93,18.72,12.62,22.1,13.07,15.59,6.55,3.07,18.9,23.21,53.76,16.1,35.55,7.1,18.21,14.45,20.17,11.21,22.31,14.34,14.21,8.24,3.24,18.1,253.875,240.42857142857142,270.8888888888889,242.5,229.33333333333334,245.83333333333334,254.93333333333334,263.88235294117646,248.0,210.66666666666666,256.8333333333333,259.0,239.28571428571428,263.8,253.94444444444446,228.5,246.27777777777777,238.36363636363637,262.57142857142856,221.8,257.0833333333333,237.16666666666666,238.25,218.22222222222223,238.0,247.46153846153845,212.0,225.64285714285714,256.7142857142857,234.3846153846154
1111,23.43,55.75,15.36,32.82,8.07,22.93,13.21,18.61,12.04,21.43,13.43,15.43,7.5,3.61,19.21,24.75,55.36,17.29,34.96,7.46,20.39,14.0,20.82,12.89,23.71,15.21,15.14,7.18,3.57,17.86,245.75,207.0,246.33333333333334,229.33333333333334,234.0,198.05555555555554,217.86666666666667,215.64705882352942,220.5,223.0,221.66666666666666,225.83333333333334,202.85714285714286,220.8,203.83333333333334,226.28571428571428,202.22222222222223,227.45454545454547,211.5,237.0,218.41666666666666,205.88888888888889,233.625,241.44444444444446,194.4375,213.23076923076923,218.92857142857142,206.71428571428572,225.0,211.69230769230768
1112,27.29,61.71,23.03,48.23,4.26,13.48,14.1,20.13,13.61,20.9,14.77,13.48,9.87,3.77,16.48,24.58,54.48,18.55,36.74,6.03,17.74,12.87,17.77,11.48,23.65,13.81,19.52,6.06,3.03,18.87,41.375,34.357142857142854,18.22222222222222,34.5,24.22222222222222,28.5,32.4,26.0,39.0,37.0,39.0,49.0,38.57142857142857,41.5,13.722222222222221,36.92857142857143,24.22222222222222,43.18181818181818,33.07142857142857,20.6,34.25,29.5,39.0,17.0,42.0625,30.384615384615383,64.21428571428571,38.785714285714285,38.857142857142854,45.84615384615385
