Season,SecondaryTourney,TeamID
2006,NIT,1103
2006,NIT,1139
2006,NIT,1140
2006,NIT,1150
2006,NIT,1153
2006,NIT,1155
2006,NIT,1160
2006,NIT,1166
2006,NIT,1175
2006,NIT,1192
2006,NIT,1199
2006,NIT,1204
2006,NIT,1220
2006,NIT,1222
2006,NIT,1252
2006,NIT,1256
2006,NIT,1257
2006,NIT,1264
2006,NIT,1268
2006,NIT,1274
2006,NIT,1275
2006,NIT,1276
2006,NIT,1278
2006,NIT,1283
2006,NIT,1304
2006,NIT,1319
2006,NIT,1323
2006,NIT,1329
2006,NIT,1330
2006,NIT,1336
2006,NIT,1353
2006,NIT,1376
2006,NIT,1386
2006,NIT,1390
2006,NIT,1396
2006,NIT,1431
2006,NIT,1435
2006,NIT,1438
2006,NIT,1443
2006,NIT,1448
