Season,SecondaryTourney,TeamID
2019,CBI,1135
2019,CBI,1141
2019,CBI,1157
2019,CBI,1169
2019,CBI,1177
2019,CBI,1213
2019,CBI,1224
2019,CBI,1255
2019,CBI,1258
2019,CBI,1378
2019,CBI,1379
2019,CBI,1392
2019,CBI,1412
2019,CBI,1430
2019,CBI,1452
2019,CBI,1465
2019,CIT,1149
2019,CIT,1165
2019,CIT,1167
2019,CIT,1168
2019,CIT,1179
2019,CIT,1190
2019,CIT,1194
2019,CIT,1198
2019,CIT,1212
2019,CIT,1214
2019,CIT,1237
2019,CIT,1245
2019,CIT,1267
2019,CIT,1309
2019,CIT,1312
2019,CIT,1342
2019,CIT,1346
2019,CIT,1352
2019,CIT,1370
2019,CIT,1381
2019,CIT,1383
2019,CIT,1402
2019,CIT,1410
2019,CIT,1411
2019,CIT,1419
2019,CIT,1453
2019,NIT,1104
2019,NIT,1116
2019,NIT,1139
2019,NIT,1144
2019,NIT,1155
2019,NIT,1160
2019,NIT,1166
2019,NIT,1172
2019,NIT,1173
2019,NIT,1202
2019,NIT,1207
2019,NIT,1217
2019,NIT,1220
2019,NIT,1231
2019,NIT,1252
2019,NIT,1260
2019,NIT,1272
2019,NIT,1301
2019,NIT,1304
2019,NIT,1313
2019,NIT,1344
2019,NIT,1355
2019,NIT,1358
2019,NIT,1360
2019,NIT,1384
2019,NIT,1395
2019,NIT,1400
2019,NIT,1405
2019,NIT,1422
2019,NIT,1455
2019,NIT,1460
2019,NIT,1462
