Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
1998,135,1120,77,1379,62,H,0,NIT
1998,135,1173,95,1254,92,H,0,NIT
1998,135,1201,73,1334,70,A,0,NIT
1998,135,1207,71,1196,69,A,0,NIT
1998,135,1208,100,1234,93,A,0,NIT
1998,135,1210,88,1371,78,H,0,NIT
1998,135,1211,69,1461,55,A,0,NIT
1998,135,1218,90,1113,73,H,0,NIT
1998,135,1266,80,1166,68,H,0,NIT
1998,135,1272,90,1123,67,H,0,NIT
1998,135,1278,77,1161,65,H,0,NIT
1998,135,1301,59,1243,39,H,0,NIT
1998,135,1336,82,1351,68,H,0,NIT
1998,135,1412,93,1281,86,A,0,NIT
1998,135,1435,73,1382,61,H,0,NIT
1998,136,1448,56,1423,52,H,0,NIT
1998,140,1201,83,1272,80,H,0,NIT
1998,140,1210,80,1207,79,H,0,NIT
1998,140,1218,78,1211,70,H,0,NIT
1998,140,1266,75,1120,60,H,0,NIT
1998,140,1278,79,1412,66,H,0,NIT
1998,140,1336,77,1173,74,A,0,NIT
1998,141,1208,61,1301,55,A,0,NIT
1998,141,1435,72,1448,68,A,0,NIT
1998,142,1278,73,1266,71,H,0,NIT
1998,142,1336,75,1210,70,A,0,NIT
1998,143,1201,85,1218,83,A,0,NIT
1998,143,1208,79,1435,65,H,0,NIT
1998,148,1278,91,1201,89,N,0,NIT
1998,148,1336,66,1208,60,N,0,NIT
1998,150,1208,95,1201,79,N,0,NIT
1998,150,1278,79,1336,72,N,0,NIT
