Season,SecondaryTourney,TeamID
2012,CBI,1139
2012,CBI,1174
2012,CBI,1191
2012,CBI,1295
2012,CBI,1333
2012,CBI,1335
2012,CBI,1338
2012,CBI,1343
2012,CBI,1346
2012,CBI,1362
2012,CBI,1395
2012,CBI,1442
2012,CBI,1450
2012,CBI,1454
2012,CBI,1459
2012,CBI,1461
2012,CIT,1107
2012,CIT,1110
2012,CIT,1132
2012,CIT,1138
2012,CIT,1157
2012,CIT,1167
2012,CIT,1168
2012,CIT,1179
2012,CIT,1193
2012,CIT,1209
2012,CIT,1225
2012,CIT,1232
2012,CIT,1245
2012,CIT,1258
2012,CIT,1264
2012,CIT,1270
2012,CIT,1273
2012,CIT,1315
2012,CIT,1324
2012,CIT,1330
2012,CIT,1349
2012,CIT,1352
2012,CIT,1364
2012,CIT,1367
2012,CIT,1398
2012,CIT,1399
2012,CIT,1405
2012,CIT,1418
2012,CIT,1429
2012,CIT,1430
2012,CIT,1451
2012,CIT,1463
2012,NIT,1103
2012,NIT,1112
2012,NIT,1137
2012,NIT,1156
2012,NIT,1173
2012,NIT,1180
2012,NIT,1229
2012,NIT,1234
2012,NIT,1247
2012,NIT,1261
2012,NIT,1267
2012,NIT,1269
2012,NIT,1274
2012,NIT,1278
2012,NIT,1279
2012,NIT,1280
2012,NIT,1292
2012,NIT,1305
2012,NIT,1320
2012,NIT,1321
2012,NIT,1331
2012,NIT,1332
2012,NIT,1366
2012,NIT,1371
2012,NIT,1386
2012,NIT,1390
2012,NIT,1392
2012,NIT,1397
2012,NIT,1416
2012,NIT,1426
2012,NIT,1434
2012,NIT,1449
