Season,Seed,TeamID
2012,W01,1393
2012,W02,1326
2012,W03,1199
2012,W04,1458
2012,W05,1435
2012,W06,1153
2012,W07,1211
2012,W08,1243
2012,W09,1379
2012,W10,1452
2012,W11,1400
2012,W12,1217
2012,W13,1285
2012,W14,1382
2012,W15,1259
2012,W16,1421
2012,X01,1314
2012,X02,1242
2012,X03,1207
2012,X04,1276
2012,X05,1396
2012,X06,1361
2012,X07,1388
2012,X08,1166
2012,X09,1104
2012,X10,1345
2012,X11,1301
2012,X12a,1143
2012,X12b,1378
2012,X13,1325
2012,X14,1125
2012,X15,1178
2012,X16a,1249
2012,X16b,1436
2012,Y01,1246
2012,Y02,1181
2012,Y03,1124
2012,Y04,1231
2012,Y05,1455
2012,Y06,1424
2012,Y07,1323
2012,Y08,1235
2012,Y09,1163
2012,Y10,1462
2012,Y11,1160
2012,Y12,1433
2012,Y13,1308
2012,Y14,1355
2012,Y15,1250
2012,Y16a,1290
2012,Y16b,1443
2012,Z01,1277
2012,Z02,1281
2012,Z03,1266
2012,Z04,1257
2012,Z05,1307
2012,Z06,1293
2012,Z07,1196
2012,Z08,1272
2012,Z09,1387
2012,Z10,1438
2012,Z11,1161
2012,Z12,1253
2012,Z13,1172
2012,Z14a,1140
2012,Z14b,1233
2012,Z15,1313
2012,Z16,1254
