Season,ConfAbbrev,DayNum,WTeamID,LTeamID
2022,a_sun,120,1146,1391
2022,a_sun,120,1195,1466
2022,a_sun,120,1244,1184
2022,a_sun,120,1252,1316
2022,a_sun,122,1239,1146
2022,a_sun,122,1240,1244
2022,a_sun,122,1251,1252
2022,a_sun,122,1468,1195
2022,a_sun,124,1239,1240
2022,a_sun,124,1468,1251
2022,a_sun,127,1468,1239
2022,a_ten,128,1247,1386
2022,a_ten,128,1348,1182
2022,a_ten,129,1200,1206
2022,a_ten,129,1269,1203
2022,a_ten,129,1350,1348
2022,a_ten,129,1387,1247
2022,a_ten,130,1172,1200
2022,a_ten,130,1173,1269
2022,a_ten,130,1350,1433
2022,a_ten,130,1387,1382
2022,a_ten,131,1172,1387
2022,a_ten,131,1350,1173
2022,a_ten,132,1350,1172
2022,aac,129,1153,1187
2022,aac,129,1409,1455
2022,aac,129,1416,1378
2022,aac,130,1222,1153
2022,aac,130,1272,1416
2022,aac,130,1374,1409
2022,aac,130,1408,1396
2022,aac,131,1222,1408
2022,aac,131,1272,1374
2022,aac,132,1222,1272
2022,acc,127,1130,1338
2022,acc,127,1155,1301
2022,acc,127,1257,1210
2022,acc,128,1130,1448
2022,acc,128,1393,1199
2022,acc,128,1438,1257
2022,acc,128,1439,1155
2022,acc,129,1181,1393
2022,acc,129,1274,1130
2022,acc,129,1314,1438
2022,acc,129,1439,1323
2022,acc,130,1181,1274
2022,acc,130,1439,1314
2022,acc,131,1439,1181
2022,aec,125,1127,1306
2022,aec,125,1216,1107
2022,aec,125,1420,1262
2022,aec,125,1436,1312
2022,aec,128,1420,1216
2022,aec,128,1436,1127
2022,aec,131,1436,1420
2022,big_east,128,1139,1462
2022,big_east,128,1371,1207
2022,big_east,128,1385,1177
2022,big_east,129,1163,1371
2022,big_east,129,1166,1266
2022,big_east,129,1344,1139
2022,big_east,129,1437,1385
2022,big_east,130,1166,1344
2022,big_east,130,1437,1163
2022,big_east,131,1437,1166
2022,big_sky,128,1170,1225
2022,big_sky,128,1186,1319
2022,big_sky,128,1340,1226
2022,big_sky,129,1286,1170
2022,big_sky,129,1294,1186
2022,big_sky,129,1340,1381
2022,big_sky,129,1451,1285
2022,big_sky,130,1286,1451
2022,big_sky,130,1294,1340
2022,big_sky,131,1286,1294
2022,big_south,121,1144,1342
2022,big_south,121,1149,1421
2022,big_south,121,1219,1214
2022,big_south,121,1299,1347
2022,big_south,123,1205,1144
2022,big_south,123,1255,1299
2022,big_south,123,1367,1149
2022,big_south,123,1457,1219
2022,big_south,124,1255,1367
2022,big_south,124,1457,1205
2022,big_south,125,1255,1457
2022,big_ten,128,1321,1304
2022,big_ten,128,1336,1278
2022,big_ten,129,1231,1276
2022,big_ten,129,1234,1321
2022,big_ten,129,1277,1268
2022,big_ten,129,1336,1326
2022,big_ten,130,1231,1228
2022,big_ten,130,1234,1353
2022,big_ten,130,1277,1458
2022,big_ten,130,1345,1336
2022,big_ten,131,1234,1231
2022,big_ten,131,1345,1277
2022,big_ten,132,1234,1345
2022,big_twelve,128,1452,1243
2022,big_twelve,129,1242,1452
2022,big_twelve,129,1328,1124
2022,big_twelve,129,1395,1400
2022,big_twelve,129,1403,1235
2022,big_twelve,130,1242,1395
2022,big_twelve,130,1403,1328
