TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,NFGM,NFGA,NFGM2,NFGA2,NFGM3,NFGA3,NFTM,NFTA,NOR,NDR,NAst,NTO,NStl,NBlk,NPF
1101,25.67,54.0,18.78,36.44,6.89,17.56,20.0,26.44,8.44,24.78,13.89,13.11,8.33,2.56,24.44,22.89,53.89,16.06,34.39,6.83,19.5,13.06,19.39,8.06,21.39,12.39,13.56,5.94,2.39,21.33
1102,23.92,54.08,18.5,36.42,5.42,17.67,17.58,25.42,9.08,28.25,14.92,13.5,6.92,1.75,18.0,22.78,55.67,15.89,36.0,6.89,19.67,12.72,19.33,8.61,23.67,11.78,13.0,5.56,1.61,20.22
1103,26.2,59.8,14.0,29.32,12.2,30.48,14.4,20.48,10.6,26.04,15.36,10.08,5.76,4.08,17.08,25.12,59.88,14.62,30.25,10.5,29.62,7.25,11.75,9.38,26.38,11.88,13.12,4.0,3.12,20.25
1104,23.94,52.89,15.72,30.11,8.22,22.78,15.0,23.0,10.11,26.5,12.22,13.56,6.5,5.28,18.44,20.71,52.71,13.36,29.71,7.36,23.0,12.57,20.21,9.36,22.79,8.43,13.0,4.5,5.29,20.43
1105,24.0,56.6,17.5,34.4,6.5,22.2,18.2,24.5,11.9,26.2,13.3,11.8,5.6,2.2,18.8,22.83,55.94,17.28,35.89,5.56,20.06,12.78,19.94,11.11,21.28,12.28,11.72,5.61,2.11,19.67
1106,25.58,61.0,17.92,38.92,7.67,22.08,13.83,20.25,13.25,26.17,12.67,12.25,5.83,3.58,21.0,24.24,62.88,17.82,42.82,6.41,20.06,13.35,19.06,12.29,23.47,11.24,11.94,5.65,3.94,21.59
1107,26.09,54.61,19.78,37.22,6.3,17.39,19.09,25.13,10.87,28.26,13.57,13.0,6.83,1.87,17.04,22.62,57.12,18.62,38.75,4.0,18.38,16.88,23.5,14.12,21.5,9.25,11.88,5.5,0.75,19.12
1108,24.0,52.38,17.23,33.54,6.77,18.85,18.31,25.23,11.54,25.15,9.85,14.69,5.23,4.54,17.69,21.87,60.33,16.53,40.47,5.33,19.87,11.87,18.73,14.07,21.47,8.4,14.07,3.8,3.33,19.07
1110,21.83,46.5,14.25,27.0,7.58,19.5,14.75,20.42,5.92,24.08,11.67,11.17,6.0,2.33,18.0,19.42,48.89,13.95,31.11,5.47,17.79,7.95,11.89,7.74,19.32,10.95,15.47,5.47,2.16,18.47
1111,24.33,56.33,15.11,33.78,9.22,22.56,18.67,25.56,12.67,29.33,13.67,15.56,3.44,4.67,22.11,22.73,58.55,14.86,35.05,7.86,23.5,14.77,21.41,12.68,21.95,10.68,14.64,4.36,2.77,21.27
1112,27.68,56.92,21.0,39.72,6.68,17.2,20.24,28.24,10.96,29.44,15.12,12.36,5.16,4.6,18.0,29.25,62.38,23.25,45.88,6.0,16.5,13.38,17.75,13.75,26.0,12.62,14.25,4.12,5.38,18.88
1113,25.67,58.4,17.33,34.87,8.33,23.53,18.53,25.73,13.47,26.0,14.13,12.2,5.8,2.8,18.13,24.18,61.35,16.59,37.65,7.59,23.71,13.0,20.0,11.29,23.12,11.35,11.82,4.88,2.59,22.47
1114,25.44,54.74,17.96,36.07,7.48,18.67,11.96,16.44,8.89,24.44,13.7,10.04,6.19,3.15,17.37,22.25,55.0,15.75,33.75,6.5,21.25,16.75,21.75,7.5,22.5,7.5,11.5,7.0,2.5,24.25
1115,22.62,50.12,15.88,29.75,6.75,20.38,9.62,16.75,9.5,24.5,10.25,16.5,8.0,5.5,21.75,19.72,52.84,13.8,32.72,5.92,20.12,9.6,15.4,9.84,19.44,9.4,15.36,6.84,3.2,22.0
1116,30.69,62.12,22.94,45.19,7.75,16.94,16.56,23.62,10.88,27.31,18.88,10.5,7.88,6.38,20.62,24.5,62.38,18.75,45.31,5.75,17.06,15.88,23.12,12.5,23.44,13.62,11.81,6.94,3.94,22.31
1117,25.89,58.67,19.89,39.44,6.0,19.22,19.67,28.0,9.78,33.11,14.44,13.67,5.89,5.89,18.33,23.8,60.25,18.0,41.95,5.8,18.3,16.6,22.15,11.25,27.0,10.95,13.05,4.2,3.7,20.5
1119,28.61,62.06,19.22,36.83,9.39,25.22,14.78,20.89,11.33,30.89,17.0,13.72,5.44,3.61,19.39,24.46,64.38,16.15,35.85,8.31,28.54,13.23,19.54,13.46,25.31,12.69,13.77,4.0,3.62,18.92
1120,27.36,58.09,16.09,31.64,11.27,26.45,19.73,29.09,9.82,28.82,14.27,14.18,6.27,5.27,20.64,21.15,59.0,13.75,33.6,7.4,25.4,12.75,21.35,11.9,23.55,9.75,13.6,4.85,3.4,21.65
