Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
2008,134,1103,65,1199,60,A,1,NIT
2008,134,1113,64,1106,53,H,0,NIT
2008,134,1166,74,1348,73,H,0,NIT
2008,134,1222,80,1305,79,A,0,CBI
2008,134,1268,68,1278,58,A,0,NIT
2008,134,1269,80,1372,60,H,0,NIT
2008,134,1325,80,1135,74,H,0,CBI
2008,134,1326,84,1421,66,H,0,NIT
2008,134,1330,68,1351,65,H,0,CBI
2008,134,1356,69,1329,53,H,0,NIT
2008,134,1393,87,1352,81,H,0,NIT
2008,134,1438,66,1350,64,H,0,CBI
2008,135,1133,70,1153,67,H,0,CBI
2008,135,1143,68,1307,66,H,0,NIT
2008,135,1173,66,1156,57,H,0,NIT
2008,135,1196,73,1361,49,H,0,NIT
2008,135,1229,61,1429,57,H,0,NIT
2008,135,1279,83,1364,68,H,0,NIT
2008,135,1304,67,1150,48,H,0,NIT
2008,135,1409,61,1275,45,H,0,CBI
2008,135,1412,80,1433,77,A,0,NIT
2008,135,1428,81,1431,69,A,0,CBI
2008,135,1434,72,1449,71,A,0,CBI
2008,135,1439,94,1288,62,H,0,NIT
2008,136,1113,65,1356,51,H,0,NIT
2008,136,1393,88,1268,72,H,0,NIT
2008,137,1196,82,1166,54,H,0,NIT
2008,138,1269,68,1103,63,H,0,NIT
2008,140,1133,79,1325,73,H,0,CBI
2008,140,1173,55,1229,48,A,0,NIT
2008,140,1222,91,1434,67,H,0,CBI
2008,140,1279,85,1304,75,H,1,NIT
2008,140,1326,73,1143,56,H,0,NIT
2008,140,1409,69,1428,60,H,0,CBI
2008,140,1438,80,1330,76,H,0,CBI
2008,140,1439,75,1412,49,H,0,NIT
2008,141,1196,70,1113,57,A,0,NIT
2008,141,1269,81,1393,77,A,0,NIT
2008,142,1133,96,1438,85,A,0,CBI
2008,142,1279,81,1439,72,A,0,NIT
2008,142,1326,74,1173,63,H,0,NIT
2008,142,1409,73,1222,69,H,0,CBI
2008,147,1409,73,1133,68,H,0,CBI
2008,148,1269,78,1196,66,N,0,NIT
2008,148,1326,81,1279,69,N,0,NIT
2008,149,1133,83,1409,74,H,0,CBI
2008,150,1326,92,1269,85,N,0,NIT
2008,151,1409,70,1133,64,H,0,CBI
