Season,Seed,TeamID
2008,W01,1314
2008,W02,1397
2008,W03,1257
2008,W04,1450
2008,W05,1323
2008,W06,1328
2008,W07,1139
2008,W08,1231
2008,W09,1116
2008,W10,1375
2008,W11,1386
2008,W12,1206
2008,W13,1457
2008,W14,1129
2008,W15,1110
2008,W16a,1164
2008,W16b,1291
2008,X01,1242
2008,X02,1207
2008,X03,1458
2008,X04,1435
2008,X05,1155
2008,X06,1425
2008,X07,1211
2008,X08,1424
2008,X09,1245
2008,X10,1172
2008,X11,1243
2008,X12,1437
2008,X13,1373
2008,X14,1168
2008,X15,1420
2008,X16,1340
2008,Y01,1272
2008,Y02,1400
2008,Y03,1390
2008,Y04,1338
2008,Y05,1277
2008,Y06,1266
2008,Y07,1274
2008,Y08,1280
2008,Y09,1332
2008,Y10,1388
2008,Y11,1246
2008,Y12,1396
2008,Y13,1331
2008,Y14,1165
2008,Y15,1122
2008,Y16,1426
2008,Z01,1417
2008,Z02,1181
2008,Z03,1462
2008,Z04,1163
2008,Z05,1179
2008,Z06,1345
2008,Z07,1452
2008,Z08,1140
2008,Z09,1401
2008,Z10,1112
2008,Z11,1124
2008,Z12,1443
2008,Z13,1360
2008,Z14,1208
2008,Z15,1125
2008,Z16,1290
