TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA
1101,20.33,50.14,13.67,32.29,6.67,17.86,15.81,21.19,8.0,20.33,10.0,15.0,5.76,1.48,21.57,27.14,53.43,21.14,37.24,6.0,16.19,18.33,25.81,10.38,24.1,15.57,12.14,7.0,5.0,18.67
1102,22.07,51.82,14.93,30.11,7.14,21.71,13.29,19.25,8.71,22.86,13.39,13.46,5.29,2.96,18.89,23.36,52.93,16.18,31.64,7.18,21.29,16.46,23.25,9.89,24.32,13.64,11.68,6.96,4.54,18.57
1103,23.55,54.52,16.45,34.12,7.09,20.39,13.73,22.21,12.3,22.67,11.15,13.21,6.61,4.21,17.82,23.55,54.97,18.67,39.97,4.88,15.0,14.06,19.61,10.82,22.58,10.85,13.03,6.55,3.15,19.21
1104,22.71,51.81,16.97,34.55,5.74,17.26,15.55,22.77,9.9,22.58,10.77,11.84,6.74,4.23,19.16,22.68,53.84,17.39,36.61,5.29,17.23,16.61,22.23,11.87,23.1,11.97,12.52,5.68,4.06,19.0
1105,21.54,53.11,15.43,34.21,6.11,18.89,14.64,22.07,9.82,23.82,12.54,13.25,6.04,4.07,21.96,21.39,52.43,16.79,37.75,4.61,14.68,19.71,28.61,12.36,25.75,9.68,13.5,6.54,3.18,19.32
1106,24.14,58.21,18.82,39.39,5.32,18.82,16.29,23.82,13.0,22.21,12.07,12.11,6.68,3.54,18.43,24.96,55.5,19.82,38.86,5.14,16.64,15.54,22.11,12.0,25.18,12.04,14.64,5.75,3.07,20.39
1107,22.44,51.09,17.53,37.62,4.91,13.47,16.25,21.72,10.34,24.22,11.06,12.62,5.53,3.06,17.25,22.75,54.34,15.84,34.75,6.91,19.59,11.44,15.84,9.94,21.59,12.34,11.97,5.84,3.03,19.25
1108,21.57,52.61,17.14,37.89,4.43,14.71,14.36,21.79,9.61,20.71,8.93,11.61,5.43,3.71,18.89,23.5,53.32,17.71,36.71,5.79,16.61,15.82,22.07,10.93,23.96,12.57,12.46,5.21,2.64,16.96
1110,23.03,46.56,16.69,29.97,6.34,16.59,11.53,16.25,7.12,22.94,15.12,13.97,6.03,3.44,17.22,20.16,49.03,15.44,33.97,4.72,15.06,13.59,20.19,9.78,19.31,10.09,12.12,7.03,2.44,17.62
1111,22.42,56.0,17.77,40.15,4.65,15.85,14.65,23.04,12.81,22.12,9.81,12.58,6.0,2.58,20.23,25.54,53.77,19.92,38.62,5.62,15.15,15.65,23.19,10.15,25.42,13.23,12.65,5.88,4.31,19.88
1112,26.24,56.0,20.94,41.15,5.29,14.85,15.29,23.35,12.59,26.29,15.09,10.44,5.88,4.24,16.44,20.38,53.5,15.97,39.47,4.41,14.03,12.97,18.44,9.24,21.21,9.18,12.41,4.76,3.18,18.62
1113,25.28,56.12,17.16,35.09,8.12,21.03,16.34,23.56,8.44,27.19,14.19,11.47,5.16,5.66,19.28,24.69,59.47,19.38,43.09,5.31,16.38,14.19,22.03,11.72,26.44,11.56,12.03,5.56,4.06,19.81
1114,23.93,57.27,19.1,41.73,4.83,15.53,17.63,23.77,11.37,25.03,11.2,13.4,5.77,3.8,21.9,23.8,55.43,16.03,33.2,7.77,22.23,19.27,27.83,10.93,24.97,13.67,12.97,7.0,3.87,19.93
1115,21.34,52.07,15.14,33.86,6.21,18.21,14.0,21.38,10.1,20.41,11.48,15.07,9.48,2.14,19.48,23.62,50.0,16.86,31.66,6.76,18.34,17.38,25.34,10.24,24.48,14.97,16.17,7.48,4.41,17.9
1116,27.22,61.31,19.69,40.78,7.53,20.53,18.28,25.22,11.72,23.88,15.38,11.69,8.62,5.59,20.91,23.72,58.38,17.44,40.19,6.28,18.19,17.5,25.31,14.28,25.41,11.16,17.22,5.47,3.19,20.41
1117,24.9,56.17,16.0,33.1,8.9,23.07,17.17,23.8,9.37,25.1,13.37,12.53,6.7,2.83,18.1,25.7,59.53,19.47,40.33,6.23,19.2,15.5,21.5,11.53,25.43,11.53,12.93,6.23,2.9,20.33
1119,25.9,58.03,18.37,35.73,7.53,22.3,13.2,18.9,11.27,22.0,14.1,13.0,5.93,4.23,18.3,26.37,56.77,19.63,39.5,6.73,17.27,14.57,20.03,11.1,23.97,13.5,13.7,7.33,3.3,18.33
1120,24.1,55.2,18.37,36.73,5.73,18.47,17.53,24.33,11.0,23.07,11.63,12.1,6.1,4.47,21.5,23.17,53.83,15.87,34.97,7.3,18.87,18.2,26.23,11.43,23.67,13.9,12.7,5.8,3.6,20.43
1122,26.11,54.43,21.07,39.39,5.04,15.04,18.11,26.86,9.86,22.61,14.18,15.54,6.82,5.29,17.5,28.36,60.43,20.64,39.14,7.71,21.29,15.64,21.07,12.25,23.43,16.07,14.46,7.82,3.39,21.32
1123,21.29,52.54,14.86,32.11,6.43,20.43,15.29,22.36,12.11,23.68,12.21,17.11,4.5,2.25,20.96,26.07,55.75,20.75,39.68,5.32,16.07,17.64,25.32,10.32,23.46,13.86,11.14,8.71,3.68,19.25
1124,25.0,55.79,17.61,36.55,7.39,19.24,16.39,24.36,14.18,24.06,14.52,11.79,5.09,5.67,17.55,24.48,57.33,17.7,38.82,6.79,18.52,12.64,18.73,11.79,20.36,15.33,10.3,5.33,2.82,18.85
1125,26.97,53.84,18.19,31.56,8.78,22.28,16.78,22.88,8.16,22.28,15.31,12.94,6.62,2.34,21.09,25.38,55.25,18.66,35.78,6.72,19.47,17.03,24.53,11.38,21.81,12.84,14.09,7.28,3.06,20.91
1126,20.87,53.07,14.07,34.07,6.8,19.0,12.9,18.1,11.1,19.23,9.4,12.4,6.03,2.43,21.27,22.9,50.07,16.93,33.17,5.97,16.9,19.0,26.73,12.13,23.77,13.2,12.4,6.03,4.73,16.77
1127,19.7,51.8,13.63,32.83,6.07,18.97,15.87,22.9,10.4,21.93,9.4,14.27,6.13,2.0,19.87,24.13,53.37,16.0,32.23,8.13,21.13,14.93,21.8,10.5,25.3,14.73,13.13,7.4,3.47,20.17
1129,25.84,57.09,18.34,36.5,7.5,20.59,15.84,20.94,10.81,22.91,11.62,9.88,5.56,2.03,19.47,24.03,53.19,17.53,34.78,6.5,18.41,15.5,22.0,8.25,22.25,11.38,11.22,4.56,3.5,18.62
1130,22.23,50.03,14.52,28.1,7.71,21.94,16.55,22.26,8.26,21.06,12.23,11.1,4.42,2.68,19.13,25.94,55.29,20.19,40.13,5.74,15.16,16.71,22.94,11.39,22.26,12.35,9.61,5.48,2.97,18.68
1131,25.62,56.59,17.65,34.5,7.97,22.09,12.26,17.06,9.65,23.79,13.91,11.88,7.09,1.82,16.97,24.15,55.24,17.65,36.71,6.5,18.53,12.26,17.41,10.15,24.21,12.85,13.71,5.18,3.09,16.18
1132,22.68,53.9,19.03,41.03,3.65,12.87,12.45,19.58,10.61,24.42,11.55,14.84,7.23,5.42,17.81,22.48,54.1,16.32,36.81,6.16,17.29,13.58,20.81,11.1,24.35,12.81,13.74,8.42,3.45,17.71
1133,22.53,53.75,17.72,38.78,4.81,14.97,13.75,19.62,11.12,22.12,9.56,11.97,7.06,2.62,19.84,22.0,50.44,15.56,30.72,6.44,19.72,15.59,21.88,9.97,23.34,12.47,12.91,5.84,3.34,17.97
1135,24.81,57.93,18.26,40.63,6.56,17.3,14.52,21.48,11.33,28.07,12.96,13.07,5.59,4.85,20.19,23.3,58.52,17.85,40.37,5.44,18.15,15.85,22.44,11.11,25.74,11.81,11.67,6.33,4.41,18.93
1136,26.16,55.84,19.9,36.97,6.26,18.87,14.61,20.74,9.68,24.45,13.0,12.32,6.32,2.87,17.65,25.77,59.23,18.1,38.13,7.68,21.1,13.32,19.42,12.65,23.77,13.0,12.29,6.74,4.55,18.1
1137,23.27,54.23,16.73,37.5,6.53,16.73,12.83,17.2,9.57,26.0,11.9,10.7,4.6,1.63,16.67,23.23,54.8,17.17,36.9,6.07,17.9,11.53,17.4,8.4,23.37,11.4,9.13,5.57,4.77,15.63
1138,24.96,56.25,18.43,36.86,6.54,19.39,16.82,23.5,12.29,24.89,15.07,12.61,6.71,4.68,18.5,24.04,56.79,18.61,39.07,5.43,17.71,14.07,20.61,11.39,22.68,12.14,13.07,6.89,2.82,20.04
1139,23.9,56.6,18.2,38.47,5.7,18.13,14.0,21.33,11.0,23.47,10.93,10.07,5.93,2.6,17.1,25.1,55.37,19.83,38.6,5.27,16.77,11.97,17.4,9.37,25.13,12.43,11.67,5.53,3.63,18.93
1140,29.27,62.52,24.09,48.64,5.18,13.88,20.48,29.76,13.3,27.79,15.64,11.48,7.12,3.03,19.58,27.0,62.79,19.48,40.73,7.52,22.06,16.03,22.58,11.15,24.67,14.58,12.52,6.21,4.27,22.73
1141,23.55,55.83,15.62,30.72,7.93,25.1,14.55,20.72,10.31,19.83,11.34,10.97,6.86,1.14,18.45,26.55,52.69,19.55,33.52,7.0,19.17,15.59,20.9,9.38,25.1,14.03,12.93,5.86,3.69,18.72
1142,21.73,53.83,15.4,34.93,6.33,18.9,12.2,17.77,10.73,20.73,11.37,8.97,5.53,2.67,18.8,21.93,50.03,16.67,34.53,5.27,15.5,15.6,21.47,10.23,24.07,12.17,10.83,4.53,3.6,15.63
1143,26.16,57.97,20.53,41.5,5.62,16.47,14.44,21.22,10.56,25.38,15.0,10.16,5.41,4.62,17.16,24.25,57.81,18.0,40.53,6.25,17.28,14.75,20.12,10.59,24.25,12.31,10.44,4.5,3.38,18.34
1144,23.64,54.61,14.89,29.68,8.75,24.93,10.21,14.96,10.54,21.43,13.57,13.11,5.54,4.14,18.18,26.39,56.46,20.46,39.57,5.93,16.89,14.25,20.89,12.14,23.46,12.79,10.32,7.04,2.79,14.93
1145,26.62,58.34,18.62,37.47,8.0,20.88,16.62,22.34,11.19,22.31,12.72,11.5,7.03,3.78,17.88,26.34,58.75,19.44,38.16,6.91,20.59,14.66,20.5,12.88,23.44,15.28,13.78,6.03,2.69,19.22
1146,25.85,59.0,19.37,41.33,6.48,17.67,13.48,22.52,10.67,22.0,12.0,14.96,7.7,4.7,21.74,27.89,59.07,22.26,42.78,5.63,16.3,20.96,28.96,13.37,27.48,16.15,14.15,7.33,2.93,18.81
1148,25.83,59.52,20.17,42.62,5.66,16.9,12.76,17.62,10.41,24.03,12.76,14.14,6.76,4.83,18.79,27.48,61.52,19.83,40.62,7.66,20.9,14.48,21.03,13.76,25.79,12.52,12.93,6.66,4.66,16.48
1149,26.04,59.74,16.81,34.81,9.22,24.93,15.04,20.81,11.07,24.85,12.56,11.22,6.15,2.44,18.7,26.0,57.93,17.89,37.74,8.11,20.19,15.74,22.19,10.44,25.96,13.3,11.78,5.33,4.41,17.48
1150,25.42,57.13,19.42,40.26,6.0,16.87,14.61,22.55,12.26,26.03,13.55,14.74,6.06,2.52,18.35,25.65,58.94,18.97,38.55,6.68,20.39,13.68,21.26,11.0,23.97,12.1,12.23,6.9,3.23,20.58
1151,24.03,56.9,17.72,37.52,6.31,19.38,18.38,25.72,12.72,23.55,11.07,13.24,6.34,4.83,18.97,27.9,59.17,22.66,43.79,5.24,15.38,14.31,21.24,11.66,24.52,13.1,12.62,6.07,3.97,20.03
1152,24.13,59.0,17.17,38.1,6.97,20.9,13.6,19.93,10.4,20.9,11.1,12.1,8.43,2.7,23.13,24.83,53.97,17.8,34.17,7.03,19.8,20.17,28.9,12.3,28.17,13.63,15.6,5.5,4.23,18.53
1153,23.76,55.64,17.94,38.27,5.82,17.36,15.39,21.73,13.36,22.7,12.73,11.09,7.94,5.52,17.45,20.33,51.55,15.0,34.85,5.33,16.7,12.33,18.18,10.82,20.85,11.06,14.33,5.24,3.55,18.76
1154,22.59,53.55,16.66,36.93,5.93,16.62,13.14,18.45,9.07,23.55,12.66,12.66,3.9,2.9,18.69,26.9,58.79,20.0,39.14,6.9,19.66,14.41,21.38,12.45,24.48,13.48,9.76,6.07,3.9,17.66
1155,21.91,52.41,16.75,35.41,5.16,17.0,14.38,19.5,11.59,24.06,10.12,11.03,4.81,5.91,15.91,21.44,54.16,16.88,37.97,4.56,16.19,10.53,16.19,11.5,21.78,10.12,10.78,5.22,2.91,16.62
1156,24.67,53.5,17.27,35.33,7.4,18.17,15.33,20.5,10.4,23.23,13.6,12.7,5.83,3.4,20.07,22.13,52.73,16.03,34.4,6.1,18.33,16.57,23.37,11.0,21.3,13.13,12.63,5.47,3.87,17.6
1157,24.67,57.47,18.93,39.57,5.73,17.9,15.47,22.33,12.7,26.13,9.93,14.1,6.2,2.8,19.93,22.93,56.8,15.2,32.7,7.73,24.1,15.43,22.2,11.17,23.83,11.77,12.83,7.27,4.27,19.13
1158,22.03,53.52,15.45,34.42,6.58,19.1,12.19,18.42,12.1,25.65,10.0,12.84,4.65,4.16,18.65,21.58,52.81,16.65,38.39,4.94,14.42,14.87,22.77,9.94,22.68,8.55,9.52,5.84,3.84,16.45
1159,25.2,52.07,16.83,31.2,8.37,20.87,10.53,14.63,6.97,23.47,13.9,11.53,4.57,2.23,17.17,24.3,54.1,18.17,35.93,6.13,18.17,13.0,18.8,9.4,22.57,11.53,10.3,5.77,2.27,15.17
1160,23.5,53.79,18.29,37.53,5.21,16.26,18.65,26.03,11.59,25.94,11.53,13.21,6.03,3.38,16.59,24.29,56.65,17.03,36.29,7.26,20.35,12.09,17.32,9.12,22.21,13.15,12.32,6.41,3.38,20.53
1161,23.37,56.2,18.2,39.83,5.17,16.37,19.4,26.77,12.77,24.2,12.07,9.23,4.9,3.2,18.47,24.2,54.0,16.93,34.97,7.27,19.03,14.5,20.2,9.27,24.03,12.7,10.97,4.87,3.5,21.47
1162,21.33,48.33,13.73,28.17,7.6,20.17,16.83,21.9,8.13,24.5,11.67,12.2,5.03,2.77,19.0,21.77,50.9,17.07,37.33,4.7,13.57,14.73,21.57,8.37,21.57,9.77,10.63,5.13,3.5,18.9
1163,24.38,54.38,17.26,36.0,7.12,18.38,15.97,21.0,10.09,25.29,12.59,11.68,6.97,6.21,18.26,21.94,56.65,16.06,38.76,5.88,17.88,13.35,20.09,12.71,22.21,11.5,12.91,5.91,3.26,18.47
1164,22.26,57.35,14.84,34.45,7.42,22.9,16.94,23.06,11.45,21.87,11.48,11.74,5.71,2.16,16.9,26.9,57.74,19.39,36.48,7.52,21.26,13.65,20.65,12.71,26.52,16.16,13.16,5.52,4.45,20.0
1165,23.04,56.67,16.15,34.74,6.89,21.93,10.67,16.0,10.3,20.85,10.44,12.04,4.19,2.7,20.74,26.7,53.63,19.15,35.22,7.56,18.41,18.3,25.22,10.15,26.41,15.0,10.19,6.07,3.59,16.33
1166,27.48,55.09,17.12,30.48,10.36,24.61,14.21,18.91,8.45,25.91,17.73,9.94,4.09,1.39,17.64,23.91,56.67,17.27,36.94,6.64,19.73,12.97,18.67,9.97,21.67,12.15,9.88,4.97,2.73,18.73
1167,23.52,54.39,16.71,36.77,6.81,17.61,14.48,21.06,11.81,22.61,11.74,13.94,6.45,3.52,22.19,22.29,51.23,16.71,33.45,5.58,17.77,18.74,26.9,10.39,22.65,11.97,12.61,6.77,3.65,19.45
1168,23.68,55.68,17.52,37.06,6.16,18.61,13.97,21.23,10.48,23.26,11.06,11.94,4.68,1.87,19.48,24.45,53.42,19.19,37.94,5.26,15.48,17.29,24.52,9.55,25.48,12.97,11.39,4.9,3.58,18.84
1169,25.09,55.73,20.82,44.0,4.27,11.73,21.48,27.18,10.94,24.42,13.18,12.88,6.73,2.58,20.58,26.48,58.06,18.91,36.15,7.58,21.91,17.0,24.3,11.09,22.15,14.58,12.24,5.91,3.55,20.48
1170,24.18,53.5,18.07,37.0,6.11,16.5,13.82,18.79,9.43,21.57,12.86,11.32,5.21,1.29,20.89,23.89,50.71,18.18,34.32,5.71,16.39,17.29,24.57,9.71,22.04,13.5,11.64,5.39,2.82,18.46
1171,23.27,53.62,17.08,37.35,6.19,16.27,13.19,19.46,10.69,21.62,11.92,12.0,5.62,2.81,20.12,21.69,47.85,15.46,31.19,6.23,16.65,17.92,23.88,8.08,23.15,11.04,12.54,5.58,3.92,19.0
1172,26.81,56.35,18.48,34.48,8.32,21.87,15.77,22.06,9.65,22.97,13.45,11.42,5.19,1.74,20.03,25.26,54.0,20.16,39.9,5.1,14.1,17.16,24.23,9.23,23.65,10.9,12.13,5.68,3.45,20.42
1173,25.67,55.06,19.09,37.67,6.58,17.39,15.48,22.73,11.64,23.67,13.06,12.0,5.82,2.61,20.06,22.97,52.3,17.21,35.52,5.76,16.79,15.94,22.58,9.45,21.67,11.97,12.64,4.7,4.39,19.33
1174,26.94,60.38,19.76,39.59,7.18,20.79,18.47,26.06,11.12,25.35,10.88,9.59,6.0,3.59,18.85,26.65,60.56,20.5,41.41,6.15,19.15,15.71,22.88,12.32,26.59,11.71,11.88,4.91,3.82,20.85
1175,20.64,49.89,15.75,34.39,4.89,15.5,13.39,19.29,9.39,20.75,11.5,11.96,5.0,3.57,18.04,22.64,51.54,16.93,32.89,5.71,18.64,15.11,21.18,11.5,23.04,13.29,11.14,5.86,3.96,17.61
1176,22.67,49.2,14.57,28.1,8.1,21.1,12.1,17.07,7.27,18.7,14.8,10.0,7.03,3.23,20.17,22.1,46.17,17.7,33.17,4.4,13.0,15.67,22.73,9.37,22.07,10.87,12.6,5.13,2.87,16.27
1177,23.7,56.0,17.79,38.42,5.91,17.58,16.09,23.52,12.3,21.61,10.88,13.45,6.7,4.21,21.61,25.7,53.58,19.33,36.58,6.36,17.0,17.61,25.0,10.15,24.09,13.33,13.03,6.64,4.7,20.06
1178,23.7,57.83,18.1,39.63,5.6,18.2,16.2,22.27,12.07,23.7,11.0,12.77,7.17,4.23,21.8,23.37,53.37,16.63,34.73,6.73,18.63,18.73,26.83,10.4,24.93,14.27,13.5,5.67,3.97,19.53
1179,22.7,51.03,14.97,31.57,7.73,19.47,13.93,19.5,8.43,23.83,12.33,12.17,5.27,2.13,18.5,23.93,53.27,17.23,33.83,6.7,19.43,14.3,20.57,8.87,23.07,11.67,10.9,6.57,3.93,18.87
1180,23.93,56.9,18.8,40.53,5.13,16.37,15.8,22.3,10.5,25.2,11.77,8.5,4.57,3.9,21.27,22.73,53.53,17.7,37.2,5.03,16.33,16.83,24.97,10.7,25.87,10.43,11.27,3.93,3.47,19.53
1181,26.68,57.59,17.82,35.12,8.85,22.47,16.44,22.65,12.0,22.47,14.53,9.47,7.0,3.06,19.38,24.21,53.38,20.29,40.56,3.91,12.82,14.76,21.47,10.41,22.24,10.71,12.26,5.03,3.44,18.82
1182,25.03,56.63,17.77,36.63,7.27,20.0,16.0,23.9,10.77,24.57,15.23,11.03,5.83,2.77,18.0,26.0,57.07,17.2,34.7,8.8,22.37,12.9,19.2,9.97,25.3,16.93,12.03,5.03,4.0,18.77
1183,23.04,53.0,18.04,37.36,5.0,15.64,15.86,22.14,10.18,22.32,11.89,13.57,5.5,4.46,19.5,24.96,53.18,18.04,35.61,6.93,17.57,17.39,24.54,9.89,23.14,13.25,11.79,7.5,3.71,19.04
1184,25.55,52.68,16.61,29.55,8.94,23.13,17.35,23.03,6.87,18.84,14.03,10.77,8.0,1.74,21.03,23.39,47.81,17.1,30.48,6.29,17.32,18.87,26.42,9.45,22.97,13.39,16.32,5.61,3.32,19.65
1185,21.44,54.22,16.5,37.53,4.94,16.69,16.09,23.66,11.62,23.94,10.28,11.97,8.12,5.94,18.81,20.31,54.66,13.69,33.5,6.62,21.16,15.19,22.19,14.25,25.16,12.66,14.75,6.19,4.41,20.34
1186,25.72,57.34,17.62,35.59,8.1,21.76,16.07,23.17,10.55,25.62,12.93,12.28,4.41,4.21,19.97,26.48,58.9,20.07,40.59,6.41,18.31,17.41,24.66,11.07,24.69,14.03,10.34,6.97,4.24,19.9
1187,23.03,53.14,14.38,29.97,8.66,23.17,16.07,22.17,9.83,22.48,12.83,12.03,6.1,2.86,17.97,26.72,58.07,20.48,38.03,6.24,20.03,12.34,18.55,12.66,23.48,14.86,11.79,6.1,3.59,18.79
1188,25.34,55.14,18.31,36.17,7.03,18.97,14.17,20.9,9.79,21.14,13.38,13.86,6.52,2.97,20.45,27.79,55.38,21.86,37.86,5.93,17.52,15.66,22.59,10.48,23.72,14.59,13.45,6.62,3.14,18.97
1189,24.97,55.14,17.28,33.97,7.69,21.17,14.03,19.72,8.9,24.21,13.17,11.86,4.79,2.76,18.28,25.07,56.66,19.69,40.52,5.38,16.14,15.66,23.0,11.31,24.21,10.66,11.34,6.1,2.34,18.72
1190,24.62,57.75,16.81,36.19,7.81,21.56,18.72,25.19,10.12,24.44,12.09,11.94,7.72,2.94,20.0,25.75,57.97,18.25,34.97,7.5,23.0,16.84,24.25,11.72,26.5,14.53,14.16,5.94,3.72,20.69
1191,23.06,50.55,18.81,38.48,4.26,12.06,17.74,24.84,8.35,23.65,14.16,12.84,5.1,3.74,18.9,25.19,56.29,18.06,36.32,7.13,19.97,14.94,21.19,11.29,23.13,13.16,12.13,6.61,4.58,19.87
1192,23.52,56.72,16.45,36.55,7.07,20.17,14.59,20.24,10.76,21.14,10.38,11.83,6.62,4.1,21.28,24.79,55.21,17.79,36.31,7.0,18.9,19.28,26.38,13.03,24.72,13.72,12.38,5.9,4.17,17.79
1193,21.78,54.78,14.91,34.16,6.88,20.62,13.0,18.97,11.12,24.31,11.25,14.66,4.41,3.66,22.94,21.84,51.53,17.03,37.62,4.81,13.91,21.5,30.22,10.0,25.41,10.59,11.19,7.59,3.75,18.94
1194,22.93,54.73,16.63,35.47,6.3,19.27,12.93,19.83,11.93,23.67,11.33,12.77,4.7,4.57,18.6,24.03,55.9,18.8,40.37,5.23,15.53,16.5,23.17,12.17,23.87,11.3,10.9,6.0,3.2,17.83
1195,26.09,56.25,20.62,39.09,5.47,17.16,14.22,20.66,10.09,26.38,12.44,13.03,5.72,3.5,17.97,23.91,57.25,17.06,37.16,6.84,20.09,13.16,19.88,10.59,23.44,11.22,12.69,6.34,2.59,18.31
1196,24.38,52.76,17.53,34.15,6.85,18.62,15.12,22.88,11.68,24.0,13.35,11.32,7.21,2.85,16.21,20.5,51.38,15.12,35.21,5.38,16.18,11.56,16.76,9.88,20.97,9.62,13.97,5.65,3.03,19.35
1197,24.5,62.4,18.07,42.5,6.43,19.9,13.8,21.17,14.83,23.9,10.67,14.67,7.2,4.13,24.27,23.83,55.4,18.57,39.37,5.27,16.03,21.03,31.17,13.33,26.87,12.37,14.83,7.13,4.73,18.37
1198,23.57,53.68,18.68,38.04,4.89,15.64,15.5,23.04,11.39,23.79,10.29,13.75,6.82,3.89,18.18,25.29,57.32,19.21,39.21,6.07,18.11,14.71,21.5,12.11,22.89,13.79,12.25,6.04,3.82,18.54
1199,24.31,52.31,19.16,38.34,5.16,13.97,16.62,23.0,10.88,23.84,10.94,13.97,5.97,5.38,18.09,22.72,57.0,16.56,38.0,6.16,19.0,14.25,20.81,13.53,20.5,11.31,12.66,6.56,3.81,20.16
1200,24.65,62.65,17.55,39.45,7.1,23.19,15.35,20.94,14.45,22.71,12.23,11.39,6.68,4.06,19.87,26.74,57.84,19.52,37.58,7.23,20.26,17.32,24.48,12.55,26.42,14.77,12.48,6.52,3.42,19.06
1201,24.03,56.39,16.23,34.71,7.81,21.68,15.84,21.9,9.19,23.74,12.06,9.45,6.23,3.87,19.55,25.06,56.03,19.06,37.32,6.0,18.71,16.58,24.26,11.19,26.48,13.55,11.03,4.39,3.19,17.87
1202,22.07,50.41,17.0,34.74,5.07,15.67,14.0,20.48,8.41,21.89,9.07,13.63,4.59,2.96,16.59,26.81,58.0,19.52,38.26,7.3,19.74,12.33,17.33,11.74,23.33,13.96,10.48,7.11,3.44,18.52
1203,25.44,54.88,19.66,39.19,5.78,15.69,16.75,25.62,11.81,25.56,14.16,13.06,7.06,4.16,18.09,23.78,57.5,17.28,36.78,6.5,20.72,12.81,19.25,11.5,22.16,12.28,13.44,6.75,3.53,21.78
1204,23.9,56.0,17.1,35.35,6.81,20.65,13.68,20.68,10.9,23.71,8.9,11.97,6.16,1.68,17.23,25.55,56.23,18.42,35.77,7.13,20.45,12.9,18.42,10.29,25.13,13.32,12.1,5.13,3.13,17.87
1205,24.87,57.5,19.83,42.03,5.03,15.47,16.47,23.67,12.2,22.87,14.2,12.4,7.5,3.03,18.9,25.7,55.73,20.5,40.07,5.2,15.67,15.07,21.57,10.53,24.5,11.93,13.83,5.87,4.6,19.5
1206,24.39,55.45,19.45,41.42,4.94,14.03,15.77,22.26,10.94,23.61,10.94,13.58,5.26,3.48,20.94,24.06,54.1,18.0,36.0,6.06,18.1,17.84,25.61,10.03,23.58,12.29,12.19,6.97,3.42,19.13
1207,24.16,52.58,18.87,36.39,5.29,16.19,16.61,23.19,10.13,23.45,13.13,11.87,5.9,4.32,21.84,21.39,51.94,15.39,33.45,6.0,18.48,18.61,26.81,11.23,21.71,11.87,11.84,5.94,2.68,20.9
1208,22.59,51.47,17.62,37.28,4.97,14.19,18.88,27.88,11.78,25.34,10.25,12.66,4.97,4.66,18.88,21.88,54.81,15.88,35.69,6.0,19.12,17.0,23.88,10.88,22.03,9.66,10.28,6.5,4.09,21.5
1209,26.45,56.29,18.94,36.55,7.52,19.74,17.23,22.23,7.94,23.16,13.29,8.03,7.87,4.71,17.35,23.52,55.58,15.61,32.65,7.9,22.94,13.45,20.0,12.03,24.26,12.13,13.58,4.06,2.52,18.84
1210,24.12,55.97,18.88,39.33,5.24,16.64,13.18,19.27,11.3,24.67,13.15,12.09,5.18,4.24,17.76,23.06,55.0,17.09,37.0,5.97,18.0,14.7,20.85,9.94,23.3,12.09,10.12,6.21,3.67,17.45
1211,26.64,54.33,19.76,36.58,6.88,17.76,15.67,22.06,9.64,26.24,14.48,11.24,6.7,3.91,18.09,21.88,55.64,16.27,38.03,5.61,17.61,15.18,21.33,11.0,21.79,10.3,11.82,5.52,3.03,19.67
