TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,7OT,ADE,BBT,BIH,BLS,BOB,BUR,CJB,CNG,COL,CPA,CPR,CRO,DC,DII,DOK,DOL,DUN,EBP,GRS,KBM,KPK,KRA,LMC,LOG,MAS,MOR,MSX,MvG,NOL,PGH,PIG,POM,PPR,PTS,REW,RT,RTB,RTH,RTP,RTR,SAG,SE,SEL,SFX,SP,SPR,SPW,STF,STH,TMR,TPR,TRP,TW,WIL,WLK,WMR,WOB,WOL
1101,20.33,50.14,13.67,32.29,6.67,17.86,15.81,21.19,8.0,20.33,10.0,15.0,5.76,1.48,21.57,27.14,53.43,21.14,37.24,6.0,16.19,18.33,25.81,10.38,24.1,15.57,12.14,7.0,5.0,18.67,343.4,260.46153846153845,336.875,333.53333333333336,346.0,323.57142857142856,338.25,330.89473684210526,345.9,329.6875,346.0,335.0,338.5,335.6666666666667,338.94117647058823,340.8421052631579,325.94444444444446,344.1333333333333,305.5833333333333,332.2,344.27272727272725,329.4736842105263,342.8333333333333,349.27272727272725,324.3333333333333,341.5263157894737,349.2105263157895,348.14285714285717,325.0,333.3333333333333,332.3157894736842,349.42105263157896,341.2105263157895,342.8333333333333,343.42857142857144,323.5,323.47058823529414,292.88235294117646,342.75,339.47058823529414,313.26666666666665,344.42105263157896,328.5263157894737,333.1,276.5,346.6666666666667,347.0,338.1818181818182,341.8,330.2,342.89473684210526,347.5833333333333,342.94736842105266,233.71428571428572,334.42105263157896,326.75,348.0,322.5,338.6666666666667
1102,22.07,51.82,14.93,30.11,7.14,21.71,13.29,19.25,8.71,22.86,13.39,13.46,5.29,2.96,18.89,23.36,52.93,16.18,31.64,7.18,21.29,16.46,23.25,9.89,24.32,13.64,11.68,6.96,4.54,18.57,288.93333333333334,241.92857142857142,253.375,233.06666666666666,240.57142857142858,209.07142857142858,218.5,213.8421052631579,227.2,215.875,233.5,223.5,248.25,232.3,185.94736842105263,229.05263157894737,228.88888888888889,197.33333333333334,214.83333333333334,215.6,226.0,201.6315789473684,208.66666666666666,267.0,267.4,212.0,232.6315789473684,237.28571428571428,220.0,238.8125,204.3684210526316,242.3684210526316,252.68421052631578,209.41666666666666,267.0,215.0,251.35294117647058,205.2941176470588,196.5,200.89473684210526,259.8,237.78947368421052,240.42105263157896,196.3,238.5,240.13333333333333,211.5,228.63636363636363,232.4,240.0,234.0,221.66666666666666,244.6315789473684,157.57142857142858,165.26315789473685,235.0625,201.8,212.33333333333334,226.58333333333334
1103,23.55,54.52,16.45,34.12,7.09,20.39,13.73,22.21,12.3,22.67,11.15,13.21,6.61,4.21,17.82,23.55,54.97,18.67,39.97,4.88,15.0,14.06,19.61,10.82,22.58,10.85,13.03,6.55,3.15,19.21,117.33333333333333,96.0,115.375,103.13333333333334,130.57142857142858,118.57142857142857,127.0,97.84210526315789,137.0,103.3125,133.5,107.5,80.875,107.5,90.42105263157895,118.52631578947368,103.16666666666667,122.93333333333334,123.0,116.2,150.1818181818182,98.3157894736842,99.83333333333333,139.36363636363637,124.46666666666667,98.36842105263158,131.3684210526316,121.92857142857143,88.0,103.1875,89.78947368421052,120.10526315789474,124.21052631578948,138.16666666666666,128.28571428571428,99.16666666666667,134.8235294117647,99.88235294117646,111.91666666666667,89.47368421052632,98.46666666666667,115.15789473684211,93.15789473684211,107.9,118.5,123.8,131.75,98.0,111.46666666666667,110.8,97.0,140.91666666666666,113.0,128.28571428571428,74.84210526315789,114.4375,110.6,93.33333333333333,89.66666666666667
1104,22.71,51.81,16.97,34.55,5.74,17.26,15.55,22.77,9.9,22.58,10.77,11.84,6.74,4.23,19.16,22.68,53.84,17.39,36.61,5.29,17.23,16.61,22.23,11.87,23.1,11.97,12.52,5.68,4.06,19.0,96.33333333333333,135.78571428571428,111.5625,133.46666666666667,74.42857142857143,91.78571428571429,92.5625,101.42105263157895,75.1,137.5625,78.0,115.0,142.125,101.9,101.36842105263158,76.94736842105263,128.33333333333334,93.73333333333333,79.75,81.8,78.81818181818181,91.26315789473684,108.16666666666667,95.54545454545455,86.13333333333334,104.52631578947368,62.421052631578945,120.85714285714286,118.0,183.3125,104.15789473684211,79.3157894736842,76.0,69.08333333333333,90.71428571428571,126.5,69.17647058823529,118.82352941176471,91.83333333333333,113.89473684210526,109.46666666666667,80.63157894736842,123.47368421052632,99.9,66.5,74.8,91.25,156.27272727272728,96.06666666666666,99.4,101.78947368421052,88.33333333333333,65.94736842105263,125.42857142857143,84.0,85.3125,67.73333333333333,115.33333333333333,138.41666666666666
1105,21.54,53.11,15.43,34.21,6.11,18.89,14.64,22.07,9.82,23.82,12.54,13.25,6.04,4.07,21.96,21.39,52.43,16.79,37.75,4.61,14.68,19.71,28.61,12.36,25.75,9.68,13.5,6.54,3.18,19.32,310.93333333333334,251.64285714285714,299.9375,301.06666666666666,316.92857142857144,313.2857142857143,317.5625,317.89473684210526,312.3,296.375,310.0,307.5,282.5,289.0,310.2105263157895,318.36842105263156,305.5,321.06666666666666,323.0,311.6,320.72727272727275,312.7894736842105,301.8333333333333,329.0,318.73333333333335,309.05263157894734,327.2631578947368,301.92857142857144,280.0,279.0625,307.0,308.0,313.10526315789474,322.3333333333333,292.85714285714283,278.6666666666667,314.7647058823529,276.11764705882354,309.4166666666667,300.1578947368421,280.1333333333333,313.94736842105266,292.57894736842104,300.9,292.5,315.93333333333334,306.75,282.8181818181818,307.06666666666666,299.2,308.89473684210526,316.0833333333333,335.10526315789474,293.42857142857144,308.7894736842105,317.4375,328.8,283.0,279.75
1106,24.14,58.21,18.82,39.39,5.32,18.82,16.29,23.82,13.0,22.21,12.07,12.11,6.68,3.54,18.43,24.96,55.5,19.82,38.86,5.14,16.64,15.54,22.11,12.0,25.18,12.04,14.64,5.75,3.07,20.39,292.73333333333335,212.92857142857142,247.1875,248.33333333333334,295.42857142857144,268.7857142857143,288.0625,263.1578947368421,294.7,230.5,292.5,248.0,226.375,272.4,269.36842105263156,291.2631578947368,246.72222222222223,283.2,271.6666666666667,291.0,304.54545454545456,281.05263157894734,255.83333333333334,326.0,286.8666666666667,278.7894736842105,337.10526315789474,239.21428571428572,256.0,204.625,258.0,295.94736842105266,299.36842105263156,295.0833333333333,305.42857142857144,214.83333333333334,286.70588235294116,206.05882352941177,273.25,254.89473684210526,256.1333333333333,284.63157894736844,242.6315789473684,268.6,317.0,294.46666666666664,296.75,218.0909090909091,276.6666666666667,258.0,266.2631578947368,306.25,313.4736842105263,226.64285714285714,284.36842105263156,268.125,313.73333333333335,231.83333333333334,230.83333333333334
1107,22.44,51.09,17.53,37.62,4.91,13.47,16.25,21.72,10.34,24.22,11.06,12.62,5.53,3.06,17.25,22.75,54.34,15.84,34.75,6.91,19.59,11.44,15.84,9.94,21.59,12.34,11.97,5.84,3.03,19.25,177.86666666666667,225.78571428571428,180.3125,196.53333333333333,196.0,219.42857142857142,201.75,195.26315789473685,199.1,210.1875,208.5,238.5,209.625,213.3,200.78947368421052,203.52631578947367,189.72222222222223,204.6,216.25,222.8,172.72727272727272,195.1578947368421,240.5,162.45454545454547,176.4,200.3684210526316,204.6315789473684,164.21428571428572,214.0,166.0625,218.78947368421052,198.05263157894737,197.47368421052633,218.25,176.14285714285714,241.83333333333334,192.7058823529412,262.5882352941176,235.66666666666666,169.78947368421052,188.33333333333334,202.8421052631579,203.1578947368421,231.9,185.5,204.73333333333332,209.0,188.9090909090909,202.13333333333333,220.4,206.89473684210526,180.08333333333334,199.94736842105263,194.21428571428572,214.52631578947367,198.75,191.06666666666666,252.66666666666666,210.33333333333334
1108,21.57,52.61,17.14,37.89,4.43,14.71,14.36,21.79,9.61,20.71,8.93,11.61,5.43,3.71,18.89,23.5,53.32,17.71,36.71,5.79,16.61,15.82,22.07,10.93,23.96,12.57,12.46,5.21,2.64,16.96,326.46666666666664,289.2142857142857,311.1875,321.6666666666667,326.92857142857144,329.92857142857144,317.3125,310.4736842105263,325.2,327.0,321.5,329.0,295.375,318.8,325.42105263157896,324.2105263157895,313.8333333333333,329.8666666666667,318.0833333333333,328.8,329.90909090909093,322.63157894736844,322.8333333333333,327.27272727272725,318.06666666666666,329.2105263157895,345.3157894736842,315.07142857142856,316.0,322.3125,325.2631578947368,329.2631578947368,326.36842105263156,322.0833333333333,316.7142857142857,306.6666666666667,308.6470588235294,279.94117647058823,331.0833333333333,324.4736842105263,325.3333333333333,325.05263157894734,314.4736842105263,328.1,329.0,325.1333333333333,318.75,323.90909090909093,328.0,313.0,324.36842105263156,330.1666666666667,328.63157894736844,304.57142857142856,327.3157894736842,314.0625,333.0,316.1666666666667,319.5833333333333
1110,23.03,46.56,16.69,29.97,6.34,16.59,11.53,16.25,7.12,22.94,15.12,13.97,6.03,3.44,17.22,20.16,49.03,15.44,33.97,4.72,15.06,13.59,20.19,9.78,19.31,10.09,12.12,7.03,2.44,17.62,164.13333333333333,181.14285714285714,146.6875,187.0,130.71428571428572,167.35714285714286,151.0625,191.8421052631579,125.9,195.375,133.5,163.0,140.0,160.4,224.94736842105263,159.57894736842104,189.5,179.53333333333333,152.08333333333334,182.6,112.18181818181819,185.68421052631578,183.5,106.63636363636364,113.33333333333333,192.94736842105263,203.21052631578948,156.14285714285714,148.0,151.875,221.47368421052633,176.6315789473684,162.21052631578948,146.91666666666666,134.71428571428572,157.0,156.76470588235293,238.58823529411765,195.91666666666666,201.31578947368422,180.66666666666666,163.94736842105263,184.31578947368422,189.7,136.5,139.26666666666668,138.25,159.45454545454547,158.53333333333333,139.6,206.3684210526316,123.33333333333333,172.0,242.14285714285714,256.05263157894734,151.4375,157.0,184.66666666666666,167.16666666666666
1111,22.42,56.0,17.77,40.15,4.65,15.85,14.65,23.04,12.81,22.12,9.81,12.58,6.0,2.58,20.23,25.54,53.77,19.92,38.62,5.62,15.15,15.65,23.19,10.15,25.42,13.23,12.65,5.88,4.31,19.88,335.4,314.0,335.25,340.73333333333335,324.7857142857143,336.35714285714283,329.125,314.0,324.3,339.875,327.5,320.0,334.75,334.8,324.10526315789474,302.36842105263156,333.8888888888889,305.6,322.6666666666667,331.2,319.1818181818182,314.57894736842104,340.6666666666667,334.3636363636364,314.6666666666667,324.6842105263158,267.6842105263158,330.0,328.0,337.6875,330.3157894736842,307.10526315789474,310.42105263157896,329.3333333333333,303.7142857142857,331.1666666666667,297.47058823529414,310.3529411764706,333.9166666666667,318.94736842105266,334.73333333333335,316.63157894736844,326.36842105263156,330.7,306.0,318.8666666666667,325.75,337.1818181818182,333.6666666666667,326.0,333.05263157894734,325.8333333333333,300.42105263157896,323.85714285714283,309.89473684210526,318.4375,313.8,333.3333333333333,337.5
