,Naive Bayes,Logistic Regression,Decision Tree,Random Forest,XGBoost,MLP
0,0.6633121855173922,0.6416539050535988,0.5567709472763072,0.6665937431634216,0.6534675125793044,0.6707503828483921
1,0.653903743315508,0.6862032085561497,0.6243850267379679,0.6727272727272727,0.6714438502673796,0.6936898395721925
2,0.6712213579987387,0.6979188564221148,0.6560857683413917,0.7082194660500315,0.7067479503889006,0.7048560016817322
3,0.6559587547094983,0.7146539758080508,0.6680547293277811,0.7122744398175689,0.719214753123141,0.7142573864763038
4,0.6350958744915747,0.6703466976564013,0.6254115824133256,0.6618245206275422,0.6655045516172767,0.6718961843889212
5,0.6565060011430749,0.7048961706991808,0.6658411125928748,0.6919413221566013,0.7022289959992379,0.7048961706991808
6,0.663689910697321,0.7091012730381911,0.6579897396921908,0.6973209196275888,0.703021090632719,0.7085312559376782
7,0.6833778116660313,0.7190240182996569,0.6921463972550514,0.7190240182996569,0.7197865040030499,0.7192146397255051
8,0.6836093660765277,0.7279649723967256,0.7045497810774796,0.7315819531696174,0.732153055396916,0.7249190938511327
9,0.6699248120300751,0.7105263157894737,0.6885338345864662,0.7144736842105263,0.7124060150375939,0.7159774436090226
10,0.6758672137262216,0.7245430809399478,0.6986199179410668,0.7219321148825065,0.7241700857888848,0.7202536367027229
11,0.674635786327979,0.7166604407919313,0.6899514381770638,0.7162868883078073,0.7172207695181173,0.7149794546133732
12,0.6815049357422239,0.7090705904265227,0.678897373812628,0.7131681877444589,0.7137269510150867,0.710188116967778
13,0.684708063021316,0.7167747914735867,0.6973123262279889,0.7167747914735867,0.719740500463392,0.7136237256719185
14,0.6604995374653099,0.7095282146160962,0.6954671600370028,0.7093432007400555,0.7126734505087882,0.708418131359852
15,0.6655683690280065,0.7146256635548234,0.6924766611751785,0.7153578619805967,0.7204832509610104,0.7129782170968333
16,0.6736111111111112,0.7081456456456456,0.6946321321321322,0.7075825825825826,0.7096471471471472,0.7015765765765766
17,0.6552529182879377,0.7118028534370947,0.6866407263294423,0.7060959792477303,0.7058365758754864,0.703242542153048
18,0.6939195509822264,0.7180542563143124,0.7043966323666978,0.7290926099158092,0.7225444340505145,0.716931711880262
19,0.6799357372367012,0.6992145662263477,0.6776151374509104,0.7001071046054981,0.694394858978936,0.7004641199571582
20,0.6537987679671458,0.7063655030800822,0.6874743326488706,0.7026694045174537,0.704517453798768,0.7006160164271047
