Season,TeamID,ConfAbbrev
2021,3101,southland
2021,3102,mwc
2021,3103,mac
2021,3104,sec
2021,3105,swac
2021,3106,swac
2021,3107,aec
2021,3108,swac
2021,3110,patriot
2021,3111,sun_belt
2021,3112,pac_twelve
2021,3113,pac_twelve
2021,3114,sun_belt
2021,3115,swac
2021,3116,sec
2021,3117,sun_belt
2021,3119,patriot
2021,3120,sec
2021,3122,ovc
2021,3123,mac
2021,3124,big_twelve
2021,3125,ovc
2021,3127,aec
2021,3129,mwc
2021,3130,acc
2021,3131,patriot
2021,3132,mac
2021,3133,mvc
2021,3136,nec
2021,3137,patriot
2021,3138,mac
2021,3139,big_east
2021,3140,wcc
2021,3141,mac
2021,3142,big_west
2021,3143,pac_twelve
2021,3144,big_south
2021,3145,maac
2021,3146,southland
2021,3148,nec
2021,3149,big_south
2021,3150,cusa
2021,3151,southern
2021,3152,wac
2021,3153,aac
2021,3155,acc
2021,3156,horizon
2021,3157,sun_belt
2021,3158,caa
2021,3159,patriot
2021,3160,pac_twelve
2021,3161,mwc
2021,3163,big_east
2021,3164,meac
2021,3166,big_east
2021,3167,big_west
2021,3168,big_west
2021,3169,big_west
2021,3170,big_sky
2021,3172,a_ten
2021,3173,a_ten
2021,3174,caa
2021,3175,meac
2021,3176,summit
2021,3177,big_east
2021,3178,horizon
2021,3179,mvc
2021,3180,caa
2021,3181,acc
2021,3182,a_ten
2021,3183,ovc
2021,3184,ovc
2021,3185,mac
2021,3186,big_sky
2021,3187,aac
2021,3188,ovc
2021,3189,caa
2021,3190,southern
2021,3191,mvc
2021,3192,nec
2021,3193,maac
2021,3194,cusa
2021,3195,a_sun
2021,3196,sec
2021,3197,meac
2021,3198,cusa
2021,3199,acc
2021,3200,a_ten
2021,3201,mwc
2021,3202,southern
2021,3203,a_ten
2021,3204,sun_belt
2021,3205,big_south
2021,3206,a_ten
2021,3207,big_east
2021,3208,sec
2021,3209,sun_belt
2021,3210,acc
2021,3211,wcc
2021,3212,swac
2021,3213,wac
2021,3214,big_south
2021,3216,aec
2021,3218,big_west
2021,3219,big_south
2021,3220,caa
2021,3221,patriot
2021,3222,aac
2021,3223,southland
2021,3224,meac
2021,3225,big_sky
2021,3226,big_sky
2021,3227,horizon
2021,3228,big_ten
2021,3229,mvc
2021,3230,southland
2021,3231,big_ten
2021,3232,mvc
2021,3233,maac
2021,3234,big_ten
2021,3235,big_twelve
2021,3236,horizon
2021,3237,horizon
2021,3238,swac
2021,3239,a_sun
2021,3240,ovc
2021,3241,caa
2021,3242,big_twelve
2021,3243,big_twelve
2021,3244,a_sun
2021,3245,mac
2021,3246,sec
2021,3247,a_ten
2021,3248,patriot
2021,3249,southland
2021,3250,patriot
2021,3251,a_sun
2021,3252,a_sun
2021,3253,big_west
2021,3254,nec
2021,3255,big_south
2021,3256,cusa
2021,3257,acc
2021,3258,wcc
2021,3259,patriot
2021,3260,mvc
2021,3261,sec
2021,3262,aec
2021,3263,aec
2021,3264,maac
2021,3265,maac
2021,3266,big_east
2021,3267,cusa
2021,3268,big_ten
2021,3269,a_ten
2021,3270,southland
2021,3272,aac
2021,3273,southern
2021,3274,acc
2021,3275,mac
2021,3276,big_ten
2021,3277,big_ten
2021,3278,big_ten
2021,3279,sec
2021,3280,sec
2021,3281,sec
2021,3282,summit
2021,3283,mvc
2021,3284,maac
2021,3285,big_sky
2021,3286,big_sky
2021,3287,ovc
2021,3288,meac
2021,3290,swac
2021,3291,nec
2021,3292,cusa
2021,3293,ovc
2021,3294,big_sky
2021,3295,summit
2021,3296,mac
2021,3297,horizon
2021,3298,patriot
2021,3299,meac
2021,3300,meac
2021,3301,acc
2021,3303,summit
2021,3304,big_ten
2021,3305,mwc
2021,3306,aec
2021,3307,mwc
2021,3308,wac
2021,3309,southland
2021,3310,maac
2021,3311,southland
2021,3312,aec
2021,3313,meac
2021,3314,acc
2021,3315,summit
2021,3316,a_sun
2021,3317,cusa
2021,3318,caa
2021,3319,big_sky
2021,3320,mvc
2021,3321,big_ten
2021,3322,southland
2021,3323,acc
2021,3324,horizon
2021,3325,mac
2021,3326,big_ten
2021,3328,big_twelve
2021,3329,big_twelve
2021,3330,cusa
2021,3331,summit
2021,3332,pac_twelve
2021,3333,pac_twelve
2021,3334,wcc
2021,3336,big_ten
2021,3337,wcc
2021,3338,acc
2021,3339,wcc
2021,3340,big_sky
2021,3341,swac
