Season,TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGM_A,FGA_A,FGM2_A,FGA2_A,FGM3_A,FGA3_A,FTM_A,FTA_A,OR_A,DR_A,Ast_A,TO_A,Stl_A,Blk_A,PF_A,BIH,COL,DOL,DUN,MAS,MOR,POM,RPI,RTH,SEL,WLK,WOL
2020,1101,24.59,56.07,18.11,35.48,6.48,20.59,17.11,23.04,10.04,21.81,13.59,14.74,9.0,2.67,22.0,22.81,50.33,17.74,33.93,5.07,16.41,18.07,24.63,9.11,24.81,10.37,18.7,7.19,4.0,20.15,245.0,233.0,236.76470588235293,198.92857142857142,219.0,201.38888888888889,235.16666666666666,323.5,230.84615384615384,230.72727272727272,204.92857142857142,231.07692307692307
2020,1102,24.84,55.1,16.26,31.87,8.58,23.23,13.97,19.29,7.42,24.74,14.48,12.45,4.97,1.23,16.87,26.58,56.48,16.23,29.19,10.35,27.29,12.1,16.84,7.29,25.52,14.58,11.32,6.29,2.81,18.94,228.125,217.41666666666666,224.1764705882353,205.78571428571428,219.27777777777777,164.44444444444446,194.55555555555554,323.5,201.46153846153845,210.63636363636363,203.0,236.07692307692307
2020,1103,24.97,57.14,15.79,31.83,9.17,25.31,15.62,20.34,9.52,27.62,12.66,12.59,4.9,2.86,17.93,24.52,60.45,18.03,39.9,6.48,20.55,11.66,17.59,11.41,25.28,10.62,12.93,5.72,2.72,20.21,75.1875,71.83333333333333,85.11764705882354,94.21428571428571,90.88888888888889,116.11111111111111,86.72222222222223,323.5,82.84615384615384,74.45454545454545,79.14285714285714,53.15384615384615
2020,1104,27.55,63.1,16.77,32.23,10.77,30.87,16.13,23.26,11.71,27.65,14.23,14.9,6.32,4.39,20.23,27.42,64.58,20.42,42.16,7.0,22.42,17.16,23.16,12.32,27.45,11.9,14.06,8.48,4.03,20.42,94.0,81.91666666666667,98.17647058823529,65.14285714285714,76.33333333333333,66.33333333333333,59.94444444444444,323.5,67.76923076923077,62.63636363636363,61.285714285714285,85.46153846153847
2020,1105,21.87,57.57,16.73,39.3,5.13,18.27,12.63,18.83,9.63,24.83,10.87,13.13,5.8,2.1,17.93,25.93,56.93,19.5,37.0,6.43,19.93,13.23,20.0,9.33,29.07,13.17,12.77,6.6,4.47,17.73,307.5,307.4166666666667,316.70588235294116,342.2857142857143,328.0,344.8333333333333,341.1111111111111,323.5,314.6923076923077,318.0,331.85714285714283,298.6923076923077
2020,1106,21.34,55.09,14.84,33.62,6.5,21.47,12.22,19.66,9.34,22.88,10.16,16.0,6.25,2.19,19.94,25.38,55.66,19.06,36.5,6.31,19.16,13.97,21.34,9.72,26.53,12.75,14.41,7.44,3.59,19.5,322.3125,314.1666666666667,328.29411764705884,341.2142857142857,333.3888888888889,340.44444444444446,329.1111111111111,323.5,333.84615384615387,325.09090909090907,328.57142857142856,321.2307692307692
2020,1107,22.48,55.06,14.58,30.84,7.9,24.23,13.23,18.58,8.16,25.84,12.68,13.71,5.61,2.68,16.84,24.81,58.23,16.87,35.35,7.94,22.87,11.42,16.42,8.9,25.61,13.55,12.77,7.58,3.39,17.84,231.9375,234.08333333333334,246.58823529411765,258.64285714285717,246.5,232.22222222222223,223.77777777777777,323.5,271.0769230769231,249.9090909090909,242.92857142857142,252.15384615384616
2020,1108,24.15,59.35,16.35,36.54,7.81,22.81,13.81,18.46,10.15,25.85,11.65,15.0,7.15,3.19,18.85,27.27,59.27,20.85,40.38,6.42,18.88,13.96,22.0,10.15,26.46,14.04,13.08,7.77,3.23,17.54,306.875,297.75,301.52941176470586,328.35714285714283,323.8333333333333,314.27777777777777,321.44444444444446,323.5,320.2307692307692,310.90909090909093,284.0,293.46153846153845
2020,1110,26.53,58.1,19.67,37.9,6.87,20.2,11.7,16.63,9.03,23.9,12.8,12.37,8.0,3.57,17.4,24.83,55.63,19.23,38.07,5.6,17.57,14.23,20.37,9.97,24.83,11.97,13.8,5.97,3.2,15.73,228.75,220.5,242.0,238.71428571428572,241.94444444444446,233.66666666666666,219.5,323.5,241.07692307692307,229.45454545454547,223.92857142857142,209.69230769230768
2020,1111,23.0,54.06,16.71,33.23,6.29,20.84,14.9,22.26,9.48,25.1,11.26,13.35,7.23,2.26,15.74,24.81,57.0,17.61,34.81,7.19,22.19,11.19,15.55,9.61,25.81,13.77,13.94,7.0,2.71,19.55,161.875,174.58333333333334,165.52941176470588,182.35714285714286,168.5,165.11111111111111,168.27777777777777,323.5,165.07692307692307,173.9090909090909,159.85714285714286,163.46153846153845
2020,1112,26.56,59.53,19.28,38.88,7.28,20.66,16.0,21.84,10.91,26.53,15.38,11.88,6.75,3.72,18.62,22.12,56.16,15.53,35.0,6.59,21.16,14.47,19.75,9.25,24.59,11.34,14.56,4.84,3.09,19.22,26.6875,26.416666666666668,31.470588235294116,34.5,33.27777777777778,19.333333333333332,14.944444444444445,323.5,21.846153846153847,21.545454545454547,14.071428571428571,33.15384615384615
2020,1113,26.32,61.42,19.0,38.74,7.32,22.68,13.84,19.9,10.1,26.0,11.13,13.23,8.03,3.35,18.68,24.81,57.94,17.48,35.81,7.32,22.13,13.52,19.84,10.42,28.0,12.52,16.42,6.55,3.84,18.45,48.375,45.583333333333336,56.94117647058823,62.42857142857143,48.05555555555556,63.611111111111114,72.72222222222223,323.5,45.53846153846154,45.09090909090909,54.0,49.0
2020,1114,24.93,53.03,18.77,35.47,6.17,17.57,17.07,24.0,9.67,25.4,14.83,15.5,6.87,3.7,18.87,24.23,57.2,16.63,35.17,7.6,22.03,13.7,19.7,10.23,22.4,12.03,13.77,6.8,3.27,21.03,128.75,119.33333333333333,124.0,164.0,138.16666666666666,176.22222222222223,146.88888888888889,323.5,134.46153846153845,122.0,135.42857142857142,112.07692307692308
2020,1115,19.31,49.14,15.59,34.97,3.72,14.17,10.76,18.38,8.66,22.45,9.21,17.69,7.1,3.24,20.55,22.83,52.9,16.76,33.38,6.07,19.52,16.62,24.48,9.97,23.28,13.14,13.93,9.62,2.62,17.41,337.1875,336.5833333333333,337.4117647058824,340.92857142857144,340.0,346.0,343.94444444444446,323.5,347.0769230769231,344.1818181818182,346.2142857142857,336.38461538461536
