Season,DayNum,WTeamID,LTeamID,CRType,CityID
2013,4,1104,1355,Regular,4353
2013,4,1107,1182,Regular,4003
2013,4,1114,1404,Regular,4196
2013,4,1116,1358,Regular,4119
2013,4,1120,1236,Regular,4018
2013,4,1122,1359,Regular,4073
2013,4,1124,1250,Regular,4362
2013,4,1125,1252,Regular,4233
2013,4,1133,1183,Regular,4265
2013,4,1137,1345,Regular,4365
2013,4,1140,1398,Regular,4282
2013,4,1150,1149,Regular,4066
2013,4,1156,1212,Regular,4075
2013,4,1157,1103,Regular,4082
2013,4,1158,1406,Regular,4064
2013,4,1160,1459,Regular,4040
2013,4,1161,1285,Regular,4121
2013,4,1163,1277,Regular,4288
2013,4,1166,1317,Regular,4255
2013,4,1169,1337,Regular,4249
2013,4,1177,1415,Regular,4071
2013,4,1181,1209,Regular,4101
2013,4,1206,1438,Regular,4115
2013,4,1208,1239,Regular,4014
2013,4,1210,1408,Regular,4016
2013,4,1211,1381,Regular,4324
2013,4,1218,1271,Regular,4155
2013,4,1219,1422,Regular,4152
2013,4,1221,1330,Regular,4244
2013,4,1222,1197,Regular,4157
2013,4,1223,1115,Regular,4155
2013,4,1228,1159,Regular,4060
2013,4,1231,1136,Regular,4032
2013,4,1233,1176,Regular,4238
2013,4,1234,1410,Regular,4162
2013,4,1235,1380,Regular,4006
2013,4,1237,1430,Regular,4161
2013,4,1242,1369,Regular,4189
2013,4,1243,1315,Regular,4211
2013,4,1245,1180,Regular,4177
2013,4,1246,1268,Regular,4047
2013,4,1259,1127,Regular,4022
2013,4,1260,1405,Regular,4071
2013,4,1261,1364,Regular,4024
2013,4,1267,1255,Regular,4158
2013,4,1274,1391,Regular,4084
2013,4,1278,1110,Regular,4216
2013,4,1279,1290,Regular,4260
2013,4,1284,1220,Regular,4366
2013,4,1287,1254,Regular,4047
2013,4,1288,1427,Regular,4244
2013,4,1292,1106,Regular,4228
2013,4,1301,1275,Regular,4287
2013,4,1303,1296,Regular,4255
2013,4,1309,1363,Regular,4237
2013,4,1313,1348,Regular,4179
2013,4,1314,1205,Regular,4061
2013,4,1318,1131,Regular,4039
2013,4,1329,1413,Regular,4335
2013,4,1333,1310,Regular,4086
2013,4,1335,1420,Regular,4266
2013,4,1336,1384,Regular,4355
2013,4,1338,1291,Regular,4270
2013,4,1350,1251,Regular,4292
2013,4,1351,1352,Regular,4190
2013,4,1371,1282,Regular,4320
2013,4,1375,1199,Regular,4341
2013,4,1382,1126,Regular,4328
2013,4,1383,1248,Regular,4105
2013,4,1387,1367,Regular,4329
2013,4,1389,1353,Regular,4269
2013,4,1390,1362,Regular,4251
2013,4,1392,1265,Regular,4275
2013,4,1395,1142,Regular,4125
2013,4,1397,1244,Regular,4180
2013,4,1400,1201,Regular,4020
2013,4,1401,1256,Regular,4078
2013,4,1402,1200,Regular,4309
2013,4,1403,1341,Regular,4205
2013,4,1407,1280,Regular,4349
2013,4,1417,1232,Regular,4201
2013,4,1421,1441,Regular,4013
2013,4,1425,1164,Regular,4201
2013,4,1426,1167,Regular,4021
2013,4,1431,1331,Regular,4108
2013,4,1433,1195,Regular,4292
2013,4,1434,1204,Regular,4357
2013,4,1436,1373,Regular,4003
2013,4,1448,1347,Regular,4371
2013,4,1456,1214,Regular,4369
2013,4,1460,1225,Regular,4225
2013,4,1462,1192,Regular,4072
2013,5,1102,1119,Regular,4064
2013,5,1113,1146,Regular,4343
2013,5,1139,1189,Regular,4161
