TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,BIH,BOB,CNG,COL,CPR,DC,DOK,DOL,DUN,GRN,ISR,JCI,KLK,LYD,MB,MOR,PIG,PKL,POM,REN,ROH,RPI,RTH,RTR,SAG,SAP,SCR,SE,SEL,SIM,TSR,UCS,WIL,WLK,WOL
1102,22.8,46.93,13.73,24.47,9.07,22.47,13.83,18.2,6.47,20.87,15.03,10.17,6.27,1.47,15.17,21.07,48.57,15.63,31.37,5.43,17.2,9.33,13.8,9.17,20.3,11.67,14.03,4.53,3.07,18.87,22.444444444444443,15.8,23.214285714285715,16.866666666666667,35.0,19.77777777777778,19.333333333333332,21.727272727272727,58.0,19.4,20.0,24.0,19.8,18.923076923076923,21.88888888888889,34.666666666666664,48.285714285714285,19.666666666666668,22.666666666666668,8.444444444444445,14.0,17.083333333333332,19.692307692307693,16.2,20.666666666666668,12.3,41.44444444444444,14.733333333333333,16.666666666666668,20.066666666666666,17.692307692307693,42.25,22.6,18.357142857142858,11.666666666666666
1103,27.03,55.97,19.81,37.59,7.22,18.38,13.34,19.84,12.0,22.97,15.03,12.44,7.72,4.38,18.75,21.97,54.56,16.72,38.94,5.25,15.62,12.66,18.72,12.72,20.34,11.28,15.0,5.62,2.78,18.31,94.55555555555556,102.6,74.28571428571429,94.2,74.0,82.55555555555556,74.06666666666666,79.9090909090909,49.5,79.53333333333333,74.4,77.0,47.8,66.23076923076923,90.33333333333333,65.46666666666667,38.42857142857143,55.583333333333336,74.86666666666666,77.88888888888889,72.0,105.0,99.53846153846153,94.3,71.26666666666667,69.3,105.66666666666667,93.06666666666666,78.66666666666667,71.73333333333333,108.92307692307692,63.625,81.4,69.71428571428571,78.0
1104,26.23,57.29,19.77,39.81,6.45,17.48,14.71,20.77,13.35,25.35,13.13,13.68,5.58,5.26,14.0,25.84,62.06,18.9,39.45,6.94,22.61,10.23,14.87,13.61,21.03,14.32,11.97,7.23,4.0,17.97,30.11111111111111,29.2,46.142857142857146,25.0,68.0,42.44444444444444,29.466666666666665,30.181818181818183,57.5,32.86666666666667,38.8,41.4,52.8,44.84615384615385,36.44444444444444,41.06666666666667,75.28571428571429,22.0,46.333333333333336,34.888888888888886,36.09090909090909,27.5,35.38461538461539,29.2,32.733333333333334,29.9,23.666666666666668,27.8,35.888888888888886,63.266666666666666,33.46153846153846,41.125,41.2,35.285714285714285,33.083333333333336
1105,20.77,55.12,16.04,37.08,4.73,18.04,13.77,21.69,11.04,23.73,10.12,17.85,6.73,7.65,20.31,23.88,60.46,18.15,42.19,5.73,18.27,16.08,24.08,16.81,27.65,12.62,16.5,9.42,3.77,19.15,316.0,322.73333333333335,332.07142857142856,308.26666666666665,331.0,332.44444444444446,332.2,328.6363636363636,328.0,319.6,328.8,331.4,335.2,316.38461538461536,328.55555555555554,321.4,326.2857142857143,318.3333333333333,332.6666666666667,314.1111111111111,331.90909090909093,319.0833333333333,326.9230769230769,330.9,325.0,329.0,330.0,314.2,329.0,305.93333333333334,314.38461538461536,331.75,330.2,318.7142857142857,313.4166666666667
1106,19.97,54.86,14.14,35.55,5.83,19.31,14.45,22.55,12.97,21.45,9.34,14.1,6.17,2.72,20.17,23.45,53.93,19.03,38.66,4.41,15.28,15.24,23.1,12.03,25.76,9.97,14.97,6.28,2.9,19.72,307.44444444444446,288.93333333333334,317.64285714285717,284.4,310.0,306.1111111111111,313.46666666666664,320.0,305.5,291.0,297.8,313.6,323.4,292.0769230769231,314.22222222222223,315.46666666666664,313.7142857142857,271.5833333333333,319.8666666666667,298.0,306.3636363636364,301.6666666666667,310.0769230769231,307.5,311.1333333333333,300.6,312.8888888888889,289.6,312.77777777777777,255.8,291.9230769230769,295.0,306.0,303.64285714285717,296.5
1107,24.25,53.25,17.41,35.09,6.84,18.16,12.91,17.88,11.0,22.97,13.12,13.38,5.91,2.44,19.22,22.25,51.12,16.19,33.53,6.06,17.59,13.91,19.62,9.5,21.03,11.91,14.12,6.16,3.94,19.44,123.11111111111111,160.73333333333332,170.71428571428572,142.46666666666667,126.0,108.11111111111111,149.46666666666667,118.0,158.0,142.53333333333333,125.8,117.6,155.2,140.6153846153846,144.0,157.6,122.28571428571429,147.91666666666666,175.86666666666667,129.88888888888889,140.54545454545453,108.33333333333333,158.23076923076923,103.4,152.53333333333333,93.5,157.11111111111111,144.73333333333332,141.66666666666666,92.66666666666667,153.3846153846154,104.25,135.6,141.71428571428572,112.58333333333333
1108,23.03,56.41,18.38,39.55,4.66,16.86,15.28,22.59,12.45,23.14,9.07,18.76,6.52,2.62,24.07,25.55,56.72,19.76,40.45,5.79,16.28,18.34,28.72,12.45,24.41,13.72,15.38,9.31,3.55,19.14,321.77777777777777,321.6666666666667,331.64285714285717,316.8,315.0,301.22222222222223,328.73333333333335,324.3636363636364,328.0,320.3333333333333,296.4,310.8,328.6,320.0769230769231,315.1111111111111,324.3333333333333,313.85714285714283,312.1666666666667,328.8666666666667,314.55555555555554,323.09090909090907,324.1666666666667,329.46153846153845,323.4,327.6666666666667,312.2,313.55555555555554,318.4,324.22222222222223,302.4,319.84615384615387,310.5,314.4,322.7142857142857,320.1666666666667
1110,22.6,52.8,16.87,36.07,5.73,16.73,13.9,19.07,10.43,24.13,13.47,13.8,5.77,2.37,18.73,20.97,52.03,15.2,34.83,5.77,17.2,14.47,19.67,9.9,22.4,12.17,14.23,6.0,3.27,18.3,197.0,201.0,182.78571428571428,194.2,183.0,229.11111111111111,181.66666666666666,195.8181818181818,195.0,208.4,206.4,212.0,174.6,185.53846153846155,231.0,185.86666666666667,197.28571428571428,135.5,181.4,215.66666666666666,201.54545454545453,205.33333333333334,208.46153846153845,206.8,193.26666666666668,180.1,205.44444444444446,216.06666666666666,208.55555555555554,151.46666666666667,222.76923076923077,154.125,214.4,176.57142857142858,196.33333333333334
1111,27.17,56.9,19.69,36.79,7.48,20.1,12.97,18.9,11.55,22.79,15.21,14.72,8.03,3.62,18.31,24.45,55.38,17.41,35.45,7.03,19.93,12.31,19.17,11.69,21.76,13.1,15.93,7.1,3.1,18.03,51.22222222222222,73.2,117.78571428571429,70.8,80.0,56.888888888888886,85.33333333333333,53.63636363636363,84.0,55.6,60.8,46.8,85.4,86.3076923076923,81.22222222222223,126.8,71.0,65.41666666666667,114.0,31.77777777777778,68.0,42.416666666666664,80.92307692307692,48.8,82.73333333333333,39.1,101.0,58.2,84.22222222222223,50.6,78.53846153846153,102.75,77.2,64.57142857142857,38.166666666666664
1112,27.5,57.3,21.9,40.97,5.6,16.33,17.87,23.97,12.37,25.17,16.2,13.73,6.0,3.23,13.4,27.93,63.1,19.43,38.9,8.5,24.2,8.13,11.77,11.4,20.23,15.97,12.37,5.77,2.73,19.8,16.11111111111111,8.0,10.785714285714286,9.466666666666667,12.0,14.666666666666666,18.066666666666666,21.90909090909091,45.5,12.4,12.2,17.2,20.6,11.76923076923077,12.222222222222221,11.2,32.142857142857146,19.916666666666668,16.133333333333333,15.444444444444445,13.454545454545455,6.833333333333333,11.076923076923077,7.9,11.0,17.0,13.777777777777779,16.733333333333334,14.666666666666666,23.066666666666666,12.076923076923077,18.125,11.6,9.285714285714286,15.083333333333334
