TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,NFGM,NFGA,NFGM2,NFGA2,NFGM3,NFGA3,NFTM,NFTA,NOR,NDR,NAst,NTO,NStl,NBlk,NPF
1102,24.14,47.0,14.55,25.5,9.59,21.5,14.45,19.0,6.91,22.64,16.09,9.95,6.41,1.59,14.18,19.12,46.75,11.5,21.62,7.62,25.12,12.12,16.0,5.25,16.0,12.12,10.75,5.88,1.12,17.88
1103,27.72,56.24,20.2,37.56,7.52,18.68,13.32,19.8,11.96,23.56,16.08,12.72,8.0,4.6,18.04,24.57,55.0,18.43,37.71,6.14,17.29,13.43,20.0,12.14,20.86,11.29,11.43,6.71,3.57,21.29
1104,27.25,56.6,20.45,39.15,6.8,17.45,15.5,21.95,13.0,27.25,14.35,12.85,5.55,5.7,12.95,24.36,58.55,18.55,41.0,5.82,17.55,13.27,18.64,14.0,21.91,10.91,15.18,5.64,4.45,15.91
1105,23.67,54.0,19.33,37.83,4.33,16.17,22.17,30.83,12.67,27.5,12.33,19.83,6.5,11.17,21.83,19.9,55.45,15.05,36.85,4.85,18.6,11.25,18.95,10.55,22.6,9.45,17.25,6.8,6.6,19.85
1106,19.56,50.11,12.56,30.22,7.0,19.89,19.33,28.78,11.67,25.44,10.33,14.33,6.56,3.33,19.44,20.15,57.0,14.85,37.95,5.3,19.05,12.25,19.75,13.55,19.65,8.9,14.0,6.0,2.45,20.5
1107,23.91,51.26,16.96,33.43,6.96,17.83,13.78,19.13,10.87,24.0,13.39,13.26,5.87,2.78,18.09,25.11,58.33,18.56,39.33,6.56,19.0,10.67,14.67,11.33,20.33,12.44,13.67,6.0,1.56,22.11
1108,24.8,53.0,20.0,37.8,4.8,15.2,18.3,25.1,11.9,25.5,10.0,18.2,7.4,3.1,22.9,22.11,58.21,17.53,40.47,4.58,17.74,13.68,21.26,12.74,21.89,8.58,19.05,6.05,2.37,24.68
1110,23.94,52.44,18.12,36.19,5.81,16.25,16.5,22.94,10.06,27.19,14.56,13.25,5.69,2.88,17.75,21.07,53.21,15.43,35.93,5.64,17.29,10.93,14.64,10.86,20.64,12.21,14.43,5.86,1.79,19.86
1111,28.09,56.36,20.14,35.59,7.95,20.77,13.45,18.59,11.18,23.73,16.23,14.14,8.23,3.77,17.0,24.29,58.57,18.29,40.57,6.0,18.0,11.43,19.86,12.71,19.86,12.0,16.57,7.43,3.14,22.43
1112,28.8,56.15,22.65,40.6,6.15,15.55,18.8,25.8,12.35,25.3,17.0,13.75,6.95,3.3,12.0,24.9,59.6,20.4,41.7,4.5,17.9,16.0,20.3,12.4,24.9,14.6,13.7,4.1,3.1,16.2
1113,22.14,50.0,14.71,29.0,7.43,21.0,9.71,16.43,12.0,23.86,14.57,16.14,5.86,3.57,16.14,20.5,51.59,14.41,31.23,6.09,20.36,10.0,14.59,11.77,19.64,12.32,13.68,5.86,1.5,18.5
1114,23.42,49.67,16.83,33.75,6.58,15.92,20.08,28.92,14.0,22.17,14.08,15.75,6.25,3.08,18.75,21.59,54.94,16.82,36.59,4.76,18.35,11.71,18.41,13.18,21.82,11.76,14.35,4.29,1.76,18.24
