Season,DayNum,team_1,team_2,team_1_won,team_1_Season,team_1_TeamID,team_1_FGM,team_1_FGA,team_1_FGM2,team_1_FGA2,team_1_FGM3,team_1_FGA3,team_1_FTM,team_1_FTA,team_1_OR,team_1_DR,team_1_Ast,team_1_TO,team_1_Stl,team_1_Blk,team_1_PF,team_1_FGM_A,team_1_FGA_A,team_1_FGM2_A,team_1_FGA2_A,team_1_FGM3_A,team_1_FGA3_A,team_1_FTM_A,team_1_FTA_A,team_1_OR_A,team_1_DR_A,team_1_Ast_A,team_1_TO_A,team_1_Stl_A,team_1_Blk_A,team_1_PF_A,team_1_BIH,team_1_COL,team_1_DOL,team_1_DUN,team_1_MAS,team_1_MOR,team_1_POM,team_1_RPI,team_1_RTH,team_1_SEL,team_1_WLK,team_1_WOL,team_2_Season,team_2_TeamID,team_2_FGM,team_2_FGA,team_2_FGM2,team_2_FGA2,team_2_FGM3,team_2_FGA3,team_2_FTM,team_2_FTA,team_2_OR,team_2_DR,team_2_Ast,team_2_TO,team_2_Stl,team_2_Blk,team_2_PF,team_2_FGM_A,team_2_FGA_A,team_2_FGM2_A,team_2_FGA2_A,team_2_FGM3_A,team_2_FGA3_A,team_2_FTM_A,team_2_FTA_A,team_2_OR_A,team_2_DR_A,team_2_Ast_A,team_2_TO_A,team_2_Stl_A,team_2_Blk_A,team_2_PF_A,team_2_BIH,team_2_COL,team_2_DOL,team_2_DUN,team_2_MAS,team_2_MOR,team_2_POM,team_2_RPI,team_2_RTH,team_2_SEL,team_2_WLK,team_2_WOL
2015,11,1103,1420,1,2015.0,1103.0,23.15,56.35,13.74,29.41,9.41,26.94,11.65,17.65,11.97,23.94,12.41,12.18,6.26,4.47,18.85,21.53,53.18,16.15,36.88,5.38,16.29,14.79,21.79,11.0,24.03,10.44,12.21,6.97,2.82,16.85,112.8,106.66666666666667,122.07142857142857,116.625,115.61111111111111,106.61111111111111,121.5,118.4,113.66666666666667,116.5,110.5625,119.58333333333333,2015.0,1420.0,19.7,48.03,14.6,32.4,5.1,15.63,11.57,17.97,7.5,22.57,11.27,15.57,6.57,3.0,15.83,24.0,53.47,17.23,34.73,6.77,18.73,12.33,17.67,9.9,24.7,13.6,12.77,8.7,3.07,18.17,338.06666666666666,338.6,342.7857142857143,339.375,340.1111111111111,322.27777777777777,339.6111111111111,341.3,338.8333333333333,340.0,338.75,339.25
2015,11,1104,1406,1,2015.0,1104.0,22.03,50.26,15.45,29.77,6.58,20.48,16.0,22.16,9.52,23.1,10.35,12.1,6.29,3.61,19.29,21.71,52.03,15.42,32.65,6.29,19.39,14.81,20.84,10.65,22.16,11.81,12.1,5.03,2.32,19.55,59.333333333333336,58.86666666666667,55.642857142857146,54.375,55.0,52.72222222222222,57.611111111111114,66.1,51.25,54.75,62.375,62.583333333333336,2015.0,1406.0,21.03,51.52,17.13,38.55,3.9,12.97,16.52,24.9,14.39,24.03,8.48,13.39,3.48,3.87,21.16,21.68,51.77,15.74,34.42,5.94,17.35,16.42,23.29,10.06,20.58,11.26,9.29,6.13,4.52,20.06,225.33333333333334,234.13333333333333,237.64285714285714,221.875,217.88888888888889,230.88888888888889,233.77777777777777,271.4,267.8333333333333,266.4166666666667,236.0,258.4166666666667
2015,11,1112,1291,1,2015.0,1112.0,26.71,54.56,21.65,40.5,5.06,14.06,17.97,25.71,10.82,26.41,14.21,11.21,7.18,3.59,17.91,20.18,51.53,14.85,35.32,5.32,16.21,12.94,18.71,7.59,20.88,9.85,14.15,4.68,2.56,21.12,7.2,6.666666666666667,8.214285714285714,3.75,6.333333333333333,4.111111111111111,5.222222222222222,6.6,8.083333333333334,8.166666666666666,8.875,8.333333333333334,2015.0,1291.0,22.07,54.83,14.47,31.8,7.6,23.03,11.37,16.67,10.83,21.8,11.4,12.23,6.73,3.73,18.3,23.4,52.6,18.0,37.1,5.4,15.5,12.63,18.7,10.47,24.53,11.4,13.7,6.33,2.73,16.8,210.33333333333334,199.73333333333332,213.78571428571428,243.375,222.11111111111111,239.66666666666666,242.83333333333334,171.7,223.58333333333334,214.41666666666666,244.9375,183.16666666666666
2015,11,1113,1152,1,2015.0,1113.0,23.62,53.16,16.81,33.59,6.81,19.56,15.38,23.0,10.72,23.88,12.94,13.88,5.91,2.28,18.94,24.0,53.34,18.5,38.19,5.5,15.16,12.94,18.62,8.31,22.91,12.34,12.97,6.12,4.19,21.09,110.33333333333333,109.06666666666666,109.85714285714286,68.5,86.55555555555556,70.61111111111111,65.33333333333333,108.3,73.91666666666667,83.08333333333333,69.4375,112.16666666666667,2015.0,1152.0,19.62,53.55,13.55,33.45,6.07,20.1,9.93,14.52,12.28,19.9,8.83,14.93,7.69,2.86,22.17,21.55,47.41,14.59,29.14,6.97,18.28,17.45,25.62,10.0,23.97,12.9,14.14,7.31,3.52,15.76,335.8666666666667,337.46666666666664,332.64285714285717,333.125,326.3888888888889,337.1666666666667,337.27777777777777,333.7,332.5833333333333,334.25,329.5,334.5833333333333
2015,11,1102,1119,0,2015.0,1102.0,23.62,50.76,16.45,30.52,7.17,20.24,10.31,15.66,8.79,20.79,14.9,11.72,6.31,1.97,17.83,22.69,50.48,14.55,28.24,8.14,22.24,12.34,17.9,10.03,21.07,14.45,12.38,5.79,3.62,17.07,225.93333333333334,215.73333333333332,225.92857142857142,176.0,221.83333333333334,190.38888888888889,201.44444444444446,258.6,202.83333333333334,206.75,184.6875,231.16666666666666,2015.0,1119.0,25.62,58.59,18.28,35.79,7.34,22.79,12.83,18.76,10.55,23.62,14.14,13.34,6.14,3.55,20.69,25.86,56.48,20.03,40.14,5.83,16.34,15.38,23.0,10.86,24.97,14.07,13.21,7.0,3.62,18.79,159.53333333333333,160.73333333333332,175.14285714285714,180.375,181.88888888888889,174.16666666666666,213.38888888888889,220.5,209.41666666666666,189.66666666666666,185.5625,170.5
2015,11,1120,1454,1,2015.0,1120.0,21.44,53.38,14.18,32.65,7.26,20.74,17.38,26.06,10.03,21.18,10.47,12.91,6.71,2.5,20.44,25.35,53.88,19.5,36.29,5.85,17.59,15.85,22.56,10.94,26.26,12.85,14.56,6.68,4.41,21.71,146.93333333333334,139.0,131.64285714285714,120.5,126.44444444444444,138.33333333333334,148.11111111111111,138.3,114.83333333333333,119.16666666666667,148.3125,145.0,2015.0,1454.0,22.21,52.25,15.39,31.68,6.82,20.57,13.89,18.89,8.75,23.32,13.07,13.07,5.36,2.82,17.43,25.64,56.0,19.61,40.36,6.04,15.64,12.82,17.71,9.75,23.75,12.11,10.79,7.11,3.43,18.07,261.53333333333336,260.1333333333333,247.5,237.0,232.61111111111111,219.72222222222223,231.83333333333334,248.3,239.41666666666666,236.25,274.5625,247.91666666666666
2015,11,1124,1270,1,2015.0,1124.0,23.94,55.16,16.94,36.84,7.0,18.31,14.25,21.38,14.5,24.03,14.41,12.38,8.03,3.84,16.72,21.69,53.62,15.97,34.38,5.72,19.25,11.22,17.34,11.19,20.06,15.19,12.34,6.34,4.0,18.09,18.0,16.933333333333334,15.285714285714286,14.875,16.11111111111111,37.0,15.166666666666666,14.4,16.666666666666668,16.0,17.8125,18.916666666666668,2015.0,1270.0,24.59,59.85,18.26,39.81,6.33,20.04,11.93,18.48,13.07,22.44,12.22,10.59,6.96,3.81,17.22,25.96,56.37,19.33,36.37,6.63,20.0,13.52,19.67,11.78,25.7,15.37,12.26,5.78,3.81,15.74,254.6,254.33333333333334,259.14285714285717,285.5,282.3888888888889,308.1111111111111,275.27777777777777,260.6,269.3333333333333,264.6666666666667,274.3125,271.75
2015,11,1129,1360,1,2015.0,1129.0,24.19,53.35,15.48,31.1,8.71,22.26,12.77,17.55,8.52,24.03,11.71,10.23,5.97,2.32,17.23,21.84,52.1,16.1,33.68,5.74,18.42,11.52,16.42,8.42,22.39,10.71,12.35,4.68,3.1,16.77,59.666666666666664,64.2,61.142857142857146,65.0,63.5,64.16666666666667,66.61111111111111,47.6,71.33333333333333,68.0,70.0625,55.916666666666664,2015.0,1360.0,22.13,52.67,15.83,34.4,6.3,18.27,13.93,20.2,10.17,22.23,12.43,11.77,6.43,3.77,20.0,21.8,50.4,17.13,36.57,4.67,13.83,14.67,21.2,10.27,23.77,11.37,13.6,5.33,3.6,19.4,146.93333333333334,159.13333333333333,139.35714285714286,107.375,129.77777777777777,92.22222222222223,106.77777777777777,170.5,129.83333333333334,143.83333333333334,118.25,156.91666666666666
2015,11,1130,1306,1,2015.0,1130.0,23.22,52.09,16.75,32.16,6.47,19.94,12.88,18.25,8.22,22.5,13.16,12.16,5.72,2.69,18.97,23.19,52.56,17.66,36.03,5.53,16.53,15.5,21.5,10.03,23.31,12.41,12.22,5.31,3.31,17.78,131.66666666666666,128.86666666666667,138.64285714285714,113.5,116.27777777777777,140.27777777777777,127.11111111111111,147.7,98.66666666666667,111.33333333333333,112.3125,146.16666666666666,2015.0,1306.0,22.52,52.72,15.28,33.24,7.24,19.48,12.93,19.17,9.21,26.83,11.38,12.41,4.9,2.21,19.31,21.1,52.03,15.86,35.0,5.24,17.03,14.9,21.66,8.21,24.38,8.52,11.24,5.69,2.24,17.83,195.93333333333334,209.86666666666667,202.71428571428572,237.5,230.61111111111111,265.05555555555554,235.16666666666666,215.0,223.08333333333334,222.91666666666666,192.375,204.5
2015,11,1135,1389,1,2015.0,1135.0,21.69,51.86,16.31,34.55,5.38,17.31,16.24,23.31,10.1,25.1,11.28,14.59,4.45,4.31,19.21,24.83,57.41,18.72,39.86,6.1,17.55,14.48,20.93,11.1,23.83,12.59,11.1,7.79,4.48,20.59,239.93333333333334,232.06666666666666,223.57142857142858,239.25,228.33333333333334,189.0,247.16666666666666,240.1,244.25,236.5,272.0625,233.08333333333334,2015.0,1389.0,20.53,49.85,14.85,33.29,5.68,16.56,14.47,21.91,10.38,22.24,10.12,12.15,6.26,2.97,19.24,19.24,48.65,13.74,31.0,5.5,17.65,16.26,22.29,9.76,22.68,10.0,13.03,5.94,3.38,19.65,229.13333333333333,231.66666666666666,220.07142857142858,194.375,221.44444444444446,178.27777777777777,187.55555555555554,231.7,211.66666666666666,218.41666666666666,200.8125,212.75
