Season,SecondaryTourney,TeamID
2005,NIT,1113
2005,NIT,1131
2005,NIT,1138
2005,NIT,1155
2005,NIT,1168
2005,NIT,1172
2005,NIT,1176
2005,NIT,1177
2005,NIT,1180
2005,NIT,1207
2005,NIT,1220
2005,NIT,1221
2005,NIT,1222
2005,NIT,1231
2005,NIT,1245
2005,NIT,1266
2005,NIT,1268
2005,NIT,1272
2005,NIT,1274
2005,NIT,1275
2005,NIT,1281
2005,NIT,1283
2005,NIT,1318
2005,NIT,1323
2005,NIT,1331
2005,NIT,1333
2005,NIT,1349
2005,NIT,1362
2005,NIT,1376
2005,NIT,1386
2005,NIT,1395
2005,NIT,1396
2005,NIT,1401
2005,NIT,1424
2005,NIT,1433
2005,NIT,1435
2005,NIT,1439
2005,NIT,1443
2005,NIT,1444
2005,NIT,1455
