TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,ARG,BCM,BD,BIH,BOB,CMV,CNG,COL,DC,DOL,DWH,ECK,ENT,GRN,HER,KLK,MAS,MOR,POM,RAG,REN,RIS,ROH,RPI,RTH,SAG,SAP,SCR,SEL,SIM,TSR,WIL,WLK,WOB,WOL
1102,21.41,47.72,12.52,23.31,8.9,24.41,9.52,13.07,7.62,15.41,13.66,10.07,8.79,1.72,16.48,19.21,40.03,15.41,28.9,3.79,11.14,12.93,18.14,8.62,20.79,8.9,16.48,4.69,2.21,16.31,70.9090909090909,81.08333333333333,85.14285714285714,95.7,98.72727272727273,120.3,66.66666666666667,114.08333333333333,127.92307692307692,88.0,95.8,104.72727272727273,62.111111111111114,80.64285714285714,97.6,128.46153846153845,107.23076923076923,63.27777777777778,53.888888888888886,142.5,87.0,89.77777777777777,101.25,115.66666666666667,79.6,73.0,103.3076923076923,124.0,102.84615384615384,85.1875,62.0,102.91666666666667,82.85714285714286,105.0,88.5
1103,24.79,55.79,16.64,34.43,8.14,21.36,13.89,20.36,10.29,23.07,16.11,13.36,6.75,3.86,18.82,22.79,56.11,16.61,38.11,6.18,18.0,14.5,20.79,13.39,23.21,12.32,15.36,6.79,2.79,18.21,83.0909090909091,110.5,91.64285714285714,90.2,106.0909090909091,157.4,88.5,103.08333333333333,111.15384615384616,94.0909090909091,110.7,103.0909090909091,94.27777777777777,87.21428571428571,114.53333333333333,90.6923076923077,99.3076923076923,116.94444444444444,96.38888888888889,143.0,82.75,86.44444444444444,93.41666666666667,92.16666666666667,90.0,113.61111111111111,82.61538461538461,115.0,107.92307692307692,78.875,175.22222222222223,114.5,83.92857142857143,113.66666666666667,92.0
1104,25.37,52.67,17.73,33.1,7.63,19.57,17.07,23.27,10.23,26.47,13.83,12.67,5.2,4.43,14.73,24.1,59.57,16.93,39.57,7.17,20.0,9.47,14.57,11.53,20.23,12.33,11.6,5.83,2.1,19.87,17.636363636363637,23.666666666666668,20.428571428571427,15.3,16.727272727272727,44.0,24.583333333333332,16.583333333333332,18.46153846153846,14.727272727272727,18.0,15.545454545454545,25.666666666666668,20.428571428571427,21.6,17.615384615384617,15.384615384615385,21.166666666666668,25.38888888888889,27.0,20.75,14.555555555555555,20.5,15.5,18.2,22.22222222222222,18.23076923076923,24.0,18.76923076923077,35.0,24.0,18.5,15.0,16.75,18.0
1105,23.66,59.0,17.55,38.76,6.1,20.24,15.66,25.52,12.93,24.31,13.14,15.24,10.62,3.86,19.34,25.21,59.62,20.34,42.72,4.86,16.9,12.52,19.48,13.76,28.1,13.79,20.07,7.17,3.66,20.62,273.0,268.6666666666667,273.2142857142857,278.0,268.8181818181818,262.0,286.8333333333333,269.5,254.23076923076923,287.8181818181818,280.2,230.1818181818182,284.22222222222223,286.07142857142856,277.4,232.07692307692307,286.0,301.94444444444446,278.8888888888889,266.5,263.5,214.88888888888889,263.6666666666667,253.58333333333334,275.4,292.8888888888889,242.3846153846154,230.0,282.15384615384613,197.5,270.6666666666667,276.9166666666667,268.5,262.0,263.3
1106,19.43,51.0,14.9,35.9,4.53,15.1,14.57,22.43,11.27,22.4,10.37,15.77,6.7,2.0,17.47,21.6,50.8,16.07,33.9,5.53,16.9,12.57,19.4,9.43,22.67,12.0,14.63,8.1,4.4,20.6,289.72727272727275,265.25,256.5,268.2,245.0,217.9,292.1666666666667,232.91666666666666,230.15384615384616,274.0,259.6,236.8181818181818,290.55555555555554,283.35714285714283,253.0,244.46153846153845,263.0769230769231,283.77777777777777,286.1666666666667,255.0,281.5,217.77777777777777,267.25,254.41666666666666,277.6,281.8333333333333,241.23076923076923,277.0,255.69230769230768,275.9375,250.77777777777777,244.0,274.57142857142856,239.25,255.0
1107,23.0,52.57,16.79,36.18,6.21,16.39,15.14,20.96,11.07,22.68,13.07,14.79,8.04,2.43,17.29,23.0,53.71,16.39,34.54,6.61,19.18,12.07,17.57,11.25,21.64,13.54,15.29,6.25,3.61,18.93,181.72727272727272,229.16666666666666,235.42857142857142,212.2,212.9090909090909,252.6,182.5,216.66666666666666,218.76923076923077,212.36363636363637,244.4,224.54545454545453,209.72222222222223,220.71428571428572,189.33333333333334,209.46153846153845,241.07692307692307,248.66666666666666,210.72222222222223,216.5,223.0,197.55555555555554,196.25,204.5,226.4,207.77777777777777,187.69230769230768,213.0,241.3846153846154,152.375,267.22222222222223,255.41666666666666,181.42857142857142,254.83333333333334,216.9
1108,19.96,53.25,15.25,36.32,4.71,16.93,12.54,21.07,11.07,22.29,11.04,19.86,7.46,3.46,22.89,23.79,54.61,18.57,39.18,5.21,15.43,16.68,26.86,12.18,24.71,13.14,16.5,10.18,4.07,19.32,323.54545454545456,319.1666666666667,319.2857142857143,322.7,323.90909090909093,314.9,324.75,322.25,316.15384615384613,324.09090909090907,322.7,319.3636363636364,320.72222222222223,323.35714285714283,323.06666666666666,316.46153846153845,318.15384615384613,322.6111111111111,318.5,319.0,323.25,319.8888888888889,324.25,322.5833333333333,324.2,315.0,321.46153846153845,320.0,323.6923076923077,320.8125,305.6666666666667,321.6666666666667,323.07142857142856,319.8333333333333,320.0
1110,24.29,53.75,17.93,36.39,6.36,17.36,12.25,17.18,10.04,25.21,12.89,15.0,6.57,2.79,17.93,22.89,55.82,15.25,34.11,7.64,21.71,12.64,18.43,10.79,22.11,13.57,13.18,7.5,2.75,17.29,164.54545454545453,162.25,155.42857142857142,147.9,162.8181818181818,165.2,158.41666666666666,155.25,142.53846153846155,143.63636363636363,175.9,158.63636363636363,152.94444444444446,155.0,131.26666666666668,119.38461538461539,166.92307692307693,188.72222222222223,168.27777777777777,82.5,172.75,140.11111111111111,148.0,136.25,195.0,155.05555555555554,116.0,226.0,159.76923076923077,180.625,194.44444444444446,173.41666666666666,142.28571428571428,179.41666666666666,159.8
1111,25.85,59.52,17.52,35.7,8.33,23.81,11.48,17.48,12.15,23.07,15.56,15.0,9.07,4.63,17.56,25.37,57.74,19.59,39.37,5.78,18.37,13.11,19.04,12.74,24.81,13.15,16.63,7.52,2.74,16.19,181.9090909090909,168.66666666666666,186.57142857142858,200.7,189.8181818181818,154.6,208.41666666666666,190.91666666666666,196.53846153846155,189.45454545454547,187.8,184.8181818181818,212.0,191.71428571428572,195.53333333333333,210.46153846153845,187.92307692307693,209.94444444444446,204.66666666666666,177.0,173.75,171.88888888888889,204.75,210.33333333333334,180.2,184.33333333333334,200.84615384615384,236.0,188.6153846153846,152.1875,148.77777777777777,186.41666666666666,190.35714285714286,169.08333333333334,183.7
1112,29.12,61.85,22.27,44.82,6.85,17.03,14.58,18.73,13.73,23.27,16.58,14.85,8.24,3.58,16.45,25.79,58.79,19.21,39.61,6.58,19.18,11.39,17.03,12.27,20.76,14.91,16.97,6.64,2.48,17.85,13.363636363636363,19.833333333333332,14.5,11.9,8.818181818181818,21.6,20.75,7.333333333333333,6.769230769230769,14.0,10.5,7.909090909090909,30.944444444444443,15.428571428571429,18.133333333333333,7.076923076923077,7.153846153846154,18.11111111111111,23.0,16.5,7.5,8.333333333333334,11.166666666666666,7.416666666666667,11.2,19.833333333333332,8.76923076923077,4.0,9.846153846153847,16.375,20.333333333333332,9.916666666666666,12.928571428571429,9.166666666666666,9.3
