TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,ARG,BIH,BOB,BRZ,COL,DOL,DUN,DWH,ECK,ENT,ERD,GRN,GRS,HER,HOL,IMS,MAS,MKV,MOR,POM,RPI,RTH,SAG,SAU,SE,SEL,STR,TSR,WLK,WOB,WOL,WTE
1102,19.14,39.79,11.32,18.96,7.82,20.82,11.14,17.11,4.18,16.82,13.0,11.43,5.96,1.79,18.75,19.29,42.43,14.54,30.0,4.75,12.43,13.68,19.25,9.61,20.14,9.14,12.96,5.43,1.57,18.36,121.0,149.06666666666666,163.07142857142858,155.75,158.42857142857142,162.42857142857142,141.92857142857142,157.07692307692307,154.75,126.0,161.15384615384616,140.93333333333334,156.28571428571428,148.0,161.0,153.15384615384616,138.26666666666668,113.73333333333333,128.2,140.26666666666668,163.33333333333334,149.1818181818182,128.8,134.0,148.4,150.8,141.46666666666667,144.8,127.6,149.2,154.63636363636363,144.66666666666666
1103,27.15,55.85,21.7,39.78,5.44,16.07,19.04,25.85,9.78,19.93,15.22,12.63,7.26,2.33,19.85,27.78,57.0,21.11,38.63,6.67,18.37,15.93,22.15,12.04,22.04,15.48,15.33,6.41,2.85,22.44,184.63636363636363,196.26666666666668,209.71428571428572,190.25,182.0,181.14285714285714,158.07142857142858,184.15384615384616,199.33333333333334,180.66666666666666,132.46153846153845,187.0,186.14285714285714,183.28571428571428,188.55555555555554,180.92307692307693,183.33333333333334,165.8,155.0,179.33333333333334,209.93333333333334,176.1818181818182,183.66666666666666,179.33333333333334,192.93333333333334,190.46666666666667,166.6,184.8,187.93333333333334,198.2,178.45454545454547,161.66666666666666
1104,24.04,57.18,17.68,37.32,6.36,19.86,14.86,20.93,13.57,23.93,12.11,13.29,6.61,3.79,18.04,23.25,55.5,16.89,36.36,6.36,19.14,12.14,17.14,10.89,22.64,11.68,13.86,5.54,3.18,19.25,29.363636363636363,19.133333333333333,26.928571428571427,27.666666666666668,38.714285714285715,31.571428571428573,34.5,22.0,24.916666666666668,32.8,41.30769230769231,27.2,37.142857142857146,31.571428571428573,37.55555555555556,33.61538461538461,25.2,33.0,22.8,26.533333333333335,21.733333333333334,24.181818181818183,28.0,25.266666666666666,25.6,22.933333333333334,46.2,30.8,24.4,21.6,26.272727272727273,29.333333333333332
1105,24.38,61.62,16.81,40.85,7.58,20.77,15.42,21.85,13.5,23.12,14.54,18.65,9.31,2.08,20.23,27.0,58.96,20.73,41.42,6.27,17.54,16.38,24.5,13.19,26.38,15.81,18.81,9.38,4.19,19.08,301.90909090909093,303.73333333333335,285.57142857142856,302.0833333333333,311.57142857142856,315.42857142857144,309.85714285714283,306.53846153846155,303.5,310.06666666666666,312.61538461538464,302.46666666666664,301.7142857142857,309.0,298.77777777777777,304.2307692307692,308.26666666666665,309.3333333333333,297.6,311.6666666666667,306.53333333333336,310.54545454545456,310.1333333333333,309.8,307.53333333333336,303.8666666666667,304.53333333333336,316.0,299.46666666666664,297.93333333333334,308.3636363636364,302.3333333333333
1106,23.43,55.29,17.32,37.64,6.11,17.64,10.64,16.46,12.29,23.86,11.68,17.04,8.36,3.14,18.18,21.71,53.39,16.93,38.18,4.79,15.21,15.54,21.96,11.32,22.36,11.79,15.07,8.79,3.18,16.14,229.1818181818182,255.86666666666667,241.92857142857142,210.66666666666666,239.85714285714286,247.57142857142858,253.64285714285714,251.76923076923077,204.66666666666666,243.6,270.15384615384613,250.06666666666666,213.28571428571428,229.42857142857142,191.77777777777777,225.07692307692307,250.6,243.53333333333333,270.6,237.53333333333333,245.33333333333334,255.9090909090909,254.73333333333332,248.2,257.6,250.53333333333333,239.86666666666667,263.6,232.53333333333333,247.26666666666668,247.63636363636363,248.66666666666666
1107,24.04,57.46,16.11,35.29,7.93,22.18,9.93,13.54,8.25,20.25,11.93,12.57,6.86,2.04,15.89,28.82,59.68,22.25,41.43,6.57,18.25,11.5,16.5,13.39,27.07,18.75,14.96,5.54,3.54,15.93,301.90909090909093,286.1333333333333,271.85714285714283,286.5,292.57142857142856,293.42857142857144,297.14285714285717,299.15384615384613,285.0,283.3333333333333,288.7692307692308,298.6666666666667,289.42857142857144,290.7142857142857,283.3333333333333,278.0,294.46666666666664,283.6,311.4,303.0,273.53333333333336,301.1818181818182,299.1333333333333,295.6,297.6,290.2,292.93333333333334,298.0,291.46666666666664,294.0,293.45454545454544,305.6666666666667
1108,24.94,58.73,19.73,42.39,5.21,16.33,14.0,20.94,13.12,23.21,13.85,18.45,8.18,3.52,19.67,25.76,58.91,20.24,41.58,5.52,17.33,16.09,23.27,12.58,23.73,15.45,16.73,8.58,2.88,19.0,282.90909090909093,283.46666666666664,288.7142857142857,279.75,276.2857142857143,280.7142857142857,279.2142857142857,285.9230769230769,284.8333333333333,273.8666666666667,285.53846153846155,279.06666666666666,267.85714285714283,276.85714285714283,276.55555555555554,289.2307692307692,279.26666666666665,271.0,278.0,271.8666666666667,279.6666666666667,289.6363636363636,281.06666666666666,276.2,284.2,283.46666666666664,269.4,292.8,282.26666666666665,287.8666666666667,291.1818181818182,287.0
1110,23.17,53.53,14.4,30.4,8.77,23.13,11.27,16.53,10.0,23.13,14.23,13.17,6.4,1.73,18.13,22.7,53.07,16.43,34.33,6.27,18.73,10.23,16.53,11.0,23.13,12.13,14.57,5.9,3.13,17.07,192.1818181818182,230.66666666666666,210.71428571428572,188.66666666666666,189.14285714285714,194.28571428571428,174.64285714285714,231.46153846153845,194.16666666666666,177.33333333333334,231.15384615384616,199.0,171.28571428571428,173.71428571428572,180.88888888888889,202.07692307692307,204.46666666666667,179.4,187.0,182.13333333333333,201.0,222.27272727272728,197.66666666666666,194.66666666666666,211.46666666666667,219.0,154.0,222.4,185.0,225.0,224.72727272727272,158.66666666666666
1111,28.62,64.5,21.42,42.54,7.19,21.96,18.85,26.19,13.0,25.31,15.23,16.19,9.85,4.62,18.69,29.88,65.65,22.08,43.15,7.81,22.5,14.15,19.12,13.27,26.62,16.62,18.69,8.92,3.88,21.08,121.54545454545455,111.8,114.57142857142857,122.16666666666667,120.28571428571429,101.85714285714286,172.28571428571428,111.23076923076923,114.41666666666667,149.6,195.84615384615384,115.13333333333334,129.85714285714286,135.42857142857142,107.55555555555556,118.6923076923077,122.4,155.86666666666667,187.86666666666667,129.53333333333333,130.66666666666666,120.72727272727273,118.0,126.2,96.06666666666666,126.0,160.46666666666667,115.2,120.26666666666667,105.06666666666666,108.18181818181819,147.33333333333334
1112,30.32,65.71,23.29,45.64,7.04,20.07,17.54,25.0,15.18,27.64,17.64,14.79,8.46,4.21,17.75,26.36,64.68,20.04,44.71,6.32,19.96,11.21,17.71,13.11,23.29,15.46,16.86,5.96,2.39,22.07,1.4545454545454546,9.466666666666667,3.4285714285714284,2.4166666666666665,1.2857142857142858,2.4285714285714284,5.428571428571429,5.846153846153846,2.25,3.2,2.076923076923077,7.133333333333334,1.8571428571428572,1.5714285714285714,1.4444444444444444,3.0,4.133333333333334,3.066666666666667,2.8,3.1333333333333333,5.8,2.5454545454545454,2.933333333333333,3.3333333333333335,6.266666666666667,4.4,5.133333333333334,3.2,3.533333333333333,5.533333333333333,2.3636363636363638,1.0
