TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,ARG,BD,BIH,BOB,CNG,COL,DOL,DWH,ECK,ENT,GRN,GRS,HER,HOL,JON,MAS,MGY,MKV,MOR,NOR,POM,RAG,REI,RM,RPI,RTH,SAG,SAU,SEL,SIM,TSR,WLK,WOB,WOL
1102,20.29,42.04,11.82,19.82,8.46,22.21,11.14,15.71,6.14,15.36,13.25,10.79,7.79,2.36,16.64,18.14,40.36,14.96,29.29,3.18,11.07,10.96,15.32,9.29,18.54,8.32,16.43,4.46,1.75,18.11,23.0,75.1875,71.375,56.81818181818182,57.54545454545455,45.666666666666664,52.285714285714285,95.5,63.8,65.0625,48.23076923076923,42.714285714285715,67.8,118.33333333333333,34.3,71.77777777777777,63.07142857142857,39.53846153846154,66.15384615384616,27.125,79.16666666666667,142.0,23.6,37.142857142857146,105.76923076923077,41.9,86.22222222222223,49.92307692307692,62.61538461538461,36.90909090909091,50.90909090909091,60.53333333333333,85.5,39.55555555555556
1103,24.86,53.29,18.68,36.25,6.18,17.04,15.86,24.57,11.21,22.36,15.11,14.61,7.39,2.54,19.46,25.82,58.93,19.36,39.96,6.46,18.96,14.04,20.46,13.57,21.89,14.75,13.54,6.75,2.89,20.64,148.8181818181818,118.375,121.6875,152.27272727272728,136.27272727272728,160.0,127.35714285714286,128.25,169.5,131.625,140.84615384615384,94.14285714285714,138.26666666666668,105.0,151.3,134.61111111111111,133.64285714285714,131.92307692307693,140.76923076923077,149.125,142.66666666666666,112.5,183.4,168.0,140.30769230769232,161.0,121.44444444444444,132.46153846153845,138.30769230769232,199.0,155.1818181818182,120.26666666666667,135.9375,160.88888888888889
1104,24.9,55.0,17.76,36.38,7.14,18.62,15.28,21.86,11.31,24.0,11.86,13.28,6.45,3.1,18.34,23.28,55.93,16.0,35.07,7.28,20.86,13.62,19.48,11.52,22.1,11.34,13.45,5.0,3.41,20.17,37.90909090909091,51.0625,43.375,32.36363636363637,29.727272727272727,37.0,44.57142857142857,41.916666666666664,26.2,38.0625,39.07692307692308,34.42857142857143,37.46666666666667,24.0,41.0,48.5,46.5,38.30769230769231,40.0,55.0,47.388888888888886,57.0,46.6,35.57142857142857,19.53846153846154,33.5,42.888888888888886,42.61538461538461,31.76923076923077,50.36363636363637,34.72727272727273,45.733333333333334,48.0,35.55555555555556
1105,23.62,57.9,17.41,38.34,6.21,19.55,16.34,23.72,12.52,23.97,12.34,16.17,7.21,2.55,21.52,25.21,57.76,19.03,39.24,6.17,18.52,16.79,25.0,12.93,25.83,15.0,16.07,7.24,2.59,20.69,295.8181818181818,259.875,274.5625,282.72727272727275,309.8181818181818,268.44444444444446,285.07142857142856,294.4166666666667,291.7,305.625,288.0769230769231,201.71428571428572,275.46666666666664,261.8333333333333,301.6,303.5,297.0,306.0,310.61538461538464,270.625,298.5,281.0,301.2,286.7142857142857,280.0,305.3333333333333,294.5,296.0,299.2307692307692,249.36363636363637,301.8181818181818,300.2,286.9375,297.1111111111111
1106,20.57,48.73,15.03,32.17,5.53,16.57,14.77,22.47,11.7,22.77,10.27,17.2,7.07,3.13,18.7,21.17,51.97,15.43,35.67,5.73,16.3,12.53,20.03,11.33,20.03,11.63,15.33,8.03,3.07,19.93,282.54545454545456,272.375,292.8125,287.27272727272725,297.72727272727275,280.1111111111111,291.2142857142857,292.5,276.8,300.0625,287.6923076923077,214.85714285714286,282.53333333333336,292.6666666666667,298.9,292.1666666666667,300.2857142857143,296.15384615384613,293.7692307692308,253.25,296.3888888888889,313.5,268.6,291.85714285714283,289.38461538461536,300.55555555555554,284.8333333333333,290.38461538461536,293.7692307692308,232.0909090909091,298.1818181818182,290.2,291.75,292.1111111111111
1107,21.36,53.32,16.54,37.07,4.82,16.25,10.36,14.04,10.21,22.5,11.21,15.75,6.71,2.25,16.93,23.57,56.07,17.18,36.82,6.39,19.25,12.21,17.43,13.21,23.36,13.86,14.21,8.25,4.0,16.43,307.54545454545456,303.5625,303.0625,309.45454545454544,304.8181818181818,310.77777777777777,309.64285714285717,290.25,315.2,297.4375,307.2307692307692,243.0,296.0,286.5,312.8,309.27777777777777,299.5,305.0769230769231,306.9230769230769,302.125,306.1111111111111,260.0,289.8,314.2857142857143,303.3076923076923,308.1111111111111,307.22222222222223,307.0,311.0769230769231,278.1818181818182,307.0,309.26666666666665,307.4375,308.3333333333333
1108,22.28,52.41,16.69,36.52,5.59,15.9,13.83,20.41,11.34,21.83,11.34,19.31,6.17,2.14,19.45,26.03,56.97,20.41,41.52,5.62,15.45,14.66,21.83,12.28,21.24,14.31,14.62,10.24,2.97,18.38,307.90909090909093,297.0,300.6875,309.90909090909093,321.27272727272725,296.44444444444446,299.35714285714283,302.8333333333333,289.9,319.75,298.38461538461536,255.35714285714286,309.93333333333334,294.8333333333333,310.8,303.72222222222223,314.14285714285717,319.53846153846155,316.3076923076923,309.75,310.44444444444446,314.5,318.0,305.7142857142857,298.6923076923077,310.44444444444446,301.6111111111111,310.0769230769231,307.38461538461536,296.3636363636364,303.1818181818182,308.6666666666667,301.9375,299.77777777777777
1110,23.42,53.0,16.77,34.94,6.65,18.06,14.0,20.71,11.0,23.42,13.26,14.23,7.74,2.32,18.19,22.35,52.94,14.71,33.23,7.65,19.71,12.68,18.23,9.84,21.81,12.9,14.39,5.68,3.03,18.19,186.36363636363637,200.4375,210.3125,198.27272727272728,206.72727272727272,193.88888888888889,201.5,221.66666666666666,188.6,195.375,206.3846153846154,119.5,199.06666666666666,200.66666666666666,203.5,203.16666666666666,207.35714285714286,199.69230769230768,190.84615384615384,145.5,190.77777777777777,213.0,166.2,200.57142857142858,209.6153846153846,212.0,202.38888888888889,200.76923076923077,220.92307692307693,148.36363636363637,218.72727272727272,187.6,224.3125,207.44444444444446
1111,25.24,61.93,18.59,41.52,6.66,20.41,11.79,18.41,13.34,21.07,14.31,16.62,10.38,4.45,20.38,25.59,56.24,20.14,39.38,5.45,16.86,16.97,22.86,12.59,26.59,15.52,19.31,8.28,3.72,17.69,198.72727272727272,203.625,213.8125,211.72727272727272,217.9090909090909,234.66666666666666,212.5,206.16666666666666,220.6,193.9375,206.07692307692307,168.35714285714286,207.33333333333334,197.33333333333334,220.9,215.66666666666666,207.35714285714286,204.07692307692307,209.84615384615384,223.375,207.55555555555554,191.5,223.0,218.28571428571428,203.30769230769232,226.88888888888889,206.94444444444446,208.3846153846154,214.30769230769232,241.9090909090909,218.27272727272728,203.13333333333333,210.5625,228.11111111111111
1112,31.52,65.0,24.14,45.79,7.38,19.21,17.1,21.76,13.9,25.69,18.9,14.97,6.97,4.55,16.07,28.9,65.62,20.79,43.24,8.1,22.38,12.52,17.76,13.59,21.66,17.45,15.62,7.24,2.14,19.45,30.181818181818183,34.5,34.0625,24.09090909090909,18.454545454545453,25.666666666666668,23.785714285714285,34.916666666666664,26.4,25.75,30.923076923076923,19.785714285714285,30.533333333333335,7.5,27.9,22.61111111111111,23.5,29.076923076923077,18.307692307692307,22.875,19.833333333333332,79.0,31.0,26.571428571428573,21.384615384615383,24.6,21.0,23.76923076923077,23.692307692307693,28.09090909090909,27.90909090909091,26.4,38.625,30.444444444444443
