Season,Seed,TeamID
1987,W01,1314
1987,W02,1393
1987,W03,1345
1987,W04,1395
1987,W05,1323
1987,W06,1196
1987,W07,1452
1987,W08,1298
1987,W09,1276
1987,W10,1443
1987,W11,1301
1987,W12,1292
1987,W13,1267
1987,W14,1318
1987,W15,1204
1987,W16,1335
1987,X01,1207
1987,X02,1104
1987,X03,1228
1987,X04,1155
1987,X05,1242
1987,X06,1344
1987,X07,1309
1987,X08,1246
1987,X09,1326
1987,X10,1140
1987,X11,1412
1987,X12,1222
1987,X13,1283
1987,X14,1122
1987,X15,1299
1987,X16,1137
1987,Y01,1231
1987,Y02,1396
1987,Y03,1177
1987,Y04,1281
1987,Y05,1181
1987,Y06,1385
1987,Y07,1210
1987,Y08,1120
1987,Y09,1360
1987,Y10,1261
1987,Y11,1455
1987,Y12,1401
1987,Y13,1462
1987,Y14,1256
1987,Y15,1380
1987,Y16,1193
1987,Z01,1424
1987,Z02,1234
1987,Z03,1338
1987,Z04,1417
1987,Z05,1438
1987,Z06,1328
1987,Z07,1431
1987,Z08,1208
1987,Z09,1243
1987,Z10,1112
1987,Z11,1409
1987,Z12,1461
1987,Z13,1141
1987,Z14,1265
1987,Z15,1365
1987,Z16,1226
