Season,Seed,TeamID
2012,W01,3124
2012,W02,3397
2012,W03,3174
2012,W04,3210
2012,W05,3207
2012,W06,3304
2012,W07,3177
2012,W08,3326
2012,W09,3196
2012,W10,3140
2012,W11,3242
2012,W12,3201
2012,W13,3357
2012,W14,3114
2012,W15,3404
2012,W16,3364
2012,X01,3390
2012,X02,3181
2012,X03,3385
2012,X04,3345
2012,X05,3376
2012,X06,3328
2012,X07,3435
2012,X08,3452
2012,X09,3400
2012,X10,3292
2012,X11,3276
2012,X12,3185
2012,X13,3355
2012,X14,3166
2012,X15,3359
2012,X16,3214
2012,Y01,3163
2012,Y02,3246
2012,Y03,3274
2012,Y04,3336
2012,Y05,3261
2012,Y06,3353
2012,Y07,3453
2012,Y08,3243
2012,Y09,3343
2012,Y10,3235
2012,Y11,3211
2012,Y12,3361
2012,Y13,3431
2012,Y14,3226
2012,Y15,3270
2012,Y16,3341
2012,Z01,3323
2012,Z02,3268
2012,Z03,3401
2012,Z04,3208
2012,Z05,3382
2012,Z06,3116
2012,Z07,3257
2012,Z08,3143
2012,Z09,3234
2012,Z10,3277
2012,Z11,3173
2012,Z12,3195
2012,Z13,3265
2012,Z14,3107
2012,Z15,3298
2012,Z16,3251
