Season,SecondaryTourney,TeamID
2010,CBI,1103
2010,CBI,1131
2010,CBI,1158
2010,CBI,1161
2010,CBI,1182
2010,CBI,1184
2010,CBI,1203
2010,CBI,1220
2010,CBI,1232
2010,CBI,1237
2010,CBI,1287
2010,CBI,1333
2010,CBI,1343
2010,CBI,1387
2010,CBI,1433
2010,CBI,1453
2010,CIT,1111
2010,CIT,1166
2010,CIT,1193
2010,CIT,1206
2010,CIT,1217
2010,CIT,1256
2010,CIT,1258
2010,CIT,1267
2010,CIT,1283
2010,CIT,1292
2010,CIT,1294
2010,CIT,1334
2010,CIT,1339
2010,CIT,1377
2010,CIT,1379
2010,CIT,1441
2010,NIT,1113
2010,NIT,1153
2010,NIT,1157
2010,NIT,1163
2010,NIT,1173
2010,NIT,1228
2010,NIT,1229
2010,NIT,1238
2010,NIT,1239
2010,NIT,1245
2010,NIT,1272
2010,NIT,1279
2010,NIT,1280
2010,NIT,1301
2010,NIT,1305
2010,NIT,1314
2010,NIT,1318
2010,NIT,1321
2010,NIT,1346
2010,NIT,1348
2010,NIT,1371
2010,NIT,1378
2010,NIT,1385
2010,NIT,1392
2010,NIT,1403
2010,NIT,1407
2010,NIT,1409
2010,NIT,1412
2010,NIT,1439
2010,NIT,1451
2010,NIT,1455
2010,NIT,1456
