Season,Seed,TeamID
1998,W01,3330
1998,W02,3163
1998,W03,3112
1998,W04,3301
1998,W05,3272
1998,W06,3438
1998,W07,3208
1998,W08,3307
1998,W09,3304
1998,W10,3203
1998,W11,3374
1998,W12,3464
1998,W13,3263
1998,W14,3365
1998,W15,3193
1998,W16,3384
1998,X01,3403
1998,X02,3104
1998,X03,3256
1998,X04,3345
1998,X05,3179
1998,X06,3155
1998,X07,3417
1998,X08,3283
1998,X09,3323
1998,X10,3276
1998,X11,3274
1998,X12,3161
1998,X13,3449
1998,X14,3221
1998,X15,3422
1998,X16,3212
1998,Y01,3397
1998,Y02,3314
1998,Y03,3228
1998,Y04,3235
1998,Y05,3353
1998,Y06,3435
1998,Y07,3198
1998,Y08,3443
1998,Y09,3372
1998,Y10,3266
1998,Y11,3364
1998,Y12,3332
1998,Y13,3245
1998,Y14,3453
1998,Y15,3224
1998,Y16,3251
1998,Z01,3390
1998,Z02,3181
1998,Z03,3196
1998,Z04,3234
1998,Z05,3242
1998,Z06,3458
1998,Z07,3428
1998,Z08,3218
1998,Z09,3116
1998,Z10,3257
1998,Z11,3439
1998,Z12,3408
1998,Z13,3269
1998,Z14,3285
1998,Z15,3292
1998,Z16,3217
