Season,DayNum,WTeamID,LTeamID,CRType,CityID
2022,8,3102,3176,Regular,4356
2022,8,3104,3149,Regular,4353
2022,8,3112,3169,Regular,4350
2022,8,3113,3294,Regular,4343
2022,8,3123,3454,Regular,4227
2022,8,3124,3402,Regular,4362
2022,8,3125,3151,Regular,4068
2022,8,3127,3373,Regular,4360
2022,8,3130,3217,Regular,4070
2022,8,3131,3262,Regular,4039
2022,8,3133,3460,Regular,4265
2022,8,3138,3145,Regular,4049
2022,8,3140,3252,Regular,4282
2022,8,3143,3170,Regular,4027
2022,8,3150,3350,Regular,4292
2022,8,3156,3190,Regular,4075
2022,8,3158,3459,Regular,4323
2022,8,3162,3214,Regular,4239
2022,8,3164,3247,Regular,4266
2022,8,3168,3381,Regular,4127
2022,8,3173,3105,Regular,4091
2022,8,3177,3411,Regular,4071
2022,8,3181,3457,Regular,4101
2022,8,3189,3219,Regular,4152
2022,8,3191,3122,Regular,4114
2022,8,3193,3135,Regular,4044
2022,8,3196,3209,Regular,4128
2022,8,3199,3316,Regular,4341
2022,8,3200,3346,Regular,4045
2022,8,3203,3110,Regular,4363
2022,8,3206,3198,Regular,4214
2022,8,3207,3298,Regular,4011
2022,8,3210,3141,Regular,4226
2022,8,3212,3419,Regular,4132
2022,8,3222,3224,Regular,4157
2022,8,3228,3300,Regular,4060
2022,8,3233,3136,Regular,4317
2022,8,3234,3306,Regular,4162
2022,8,3235,3303,Regular,4006
2022,8,3239,3278,Regular,4216
2022,8,3241,3438,Regular,4148
2022,8,3243,3146,Regular,4211
2022,8,3246,3342,Regular,4193
2022,8,3260,3178,Regular,4071
2022,8,3261,3311,Regular,4024
2022,8,3264,3383,Regular,4045
2022,8,3265,3180,Regular,4266
2022,8,3266,3108,Regular,4215
2022,8,3268,3255,Regular,4077
2022,8,3269,3148,Regular,4007
2022,8,3270,3115,Regular,4268
2022,8,3272,3462,Regular,4213
2022,8,3274,3238,Regular,4084
2022,8,3276,3237,Regular,4010
2022,8,3277,3287,Regular,4103
2022,8,3280,3106,Regular,4332
2022,8,3283,3114,Regular,4248
2022,8,3292,3187,Regular,4228
2022,8,3296,3229,Regular,4093
2022,8,3304,3263,Regular,4195
2022,8,3307,3249,Regular,4004
