Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
1993,135,1130,87,1310,83,A,0,NIT
1993,135,1155,84,1120,72,H,0,NIT
1993,135,1207,78,1113,68,A,0,NIT
1993,135,1238,90,1163,88,A,1,NIT
1993,135,1275,56,1326,53,A,0,NIT
1993,135,1278,74,1196,66,H,0,NIT
1993,135,1283,56,1386,34,H,0,NIT
1993,135,1328,88,1277,86,H,0,NIT
1993,135,1330,74,1433,68,H,0,NIT
1993,135,1337,53,1364,50,A,0,NIT
1993,135,1344,73,1241,61,H,0,NIT
1993,135,1349,77,1458,73,A,0,NIT
1993,135,1412,58,1104,56,A,0,NIT
1993,135,1425,90,1424,74,A,0,NIT
1993,135,1431,67,1222,61,H,0,NIT
1993,135,1452,95,1208,84,H,0,NIT
1993,140,1130,101,1349,68,H,0,NIT
1993,140,1207,71,1431,44,H,0,NIT
1993,140,1275,60,1330,58,H,0,NIT
1993,140,1278,86,1328,72,H,0,NIT
1993,140,1283,70,1238,52,A,0,NIT
1993,140,1344,68,1452,67,H,0,NIT
1993,140,1412,65,1155,64,H,0,NIT
1993,140,1425,71,1337,59,H,0,NIT
1993,142,1207,66,1275,53,H,0,NIT
1993,142,1278,76,1425,58,H,0,NIT
1993,142,1344,75,1130,58,A,0,NIT
1993,142,1412,61,1283,52,H,0,NIT
1993,147,1207,45,1412,41,N,0,NIT
1993,147,1278,76,1344,70,N,0,NIT
1993,149,1278,62,1207,61,N,0,NIT
1993,149,1412,55,1344,52,N,0,NIT
