Season,Seed,TeamID
1993,W01,1314
1993,W02,1153
1993,W03,1269
1993,W04,1116
1993,W05,1385
1993,W06,1438
1993,W07,1308
1993,W08,1348
1993,W09,1345
1993,W10,1304
1993,W11,1264
1993,W12,1403
1993,W13,1221
1993,W14,1335
1993,W15,1164
1993,W16,1187
1993,X01,1231
1993,X02,1242
1993,X03,1181
1993,X04,1257
1993,X05,1329
1993,X06,1143
1993,X07,1140
1993,X08,1309
1993,X09,1462
1993,X10,1374
1993,X11,1261
1993,X12,1266
1993,X13,1174
1993,X14,1356
1993,X15,1123
1993,X16,1460
1993,Y01,1246
1993,Y02,1371
1993,Y03,1199
1993,Y04,1234
1993,Y05,1448
1993,Y06,1243
1993,Y07,1443
1993,Y08,1428
1993,Y09,1338
1993,Y10,1272
1993,Y11,1408
1993,Y12,1151
1993,Y13,1419
1993,Y14,1191
1993,Y15,1398
1993,Y16,1351
1993,Z01,1276
1993,Z02,1112
1993,Z03,1435
1993,Z04,1210
1993,Z05,1307
1993,Z06,1228
1993,Z07,1396
1993,Z08,1235
1993,Z09,1417
1993,Z10,1281
1993,Z11,1253
1993,Z12,1203
1993,Z13,1380
1993,Z14,1129
1993,Z15,1365
1993,Z16,1157
